data;altitude;campanha;direcao_graus;velocidade_km/h
2018-01-01 22:00:00;509.0;;113.4286928087454;10.102929723600365
2018-01-01 22:00:00;659.0;;122.73522627210849;8.571308243203138
2018-01-01 22:00:00;909.0;;150.04639183219976;7.013838677928125
2018-01-03 22:00:00;509.0;;221.53177074108166;19.26292771102018
2018-01-03 22:00:00;659.0;;225.8243428208447;20.24939134887753
2018-01-03 22:00:00;909.0;;234.69866173770893;20.31921388735259
2018-01-04 02:00:00;509.0;;203.09682191815784;7.614340746249788
2018-01-04 02:00:00;659.0;;199.5922818910519;6.450464944482815
2018-01-04 02:00:00;909.0;;214.56252464887976;5.6283633500335455
2018-01-04 01:00:00;509.0;;210.67728002179354;7.065830029090622
2018-01-04 01:00:00;659.0;;210.32360686254862;6.324233550399616
2018-01-04 01:00:00;909.0;;227.1210963966566;5.903436710933413
2018-01-04 04:00:00;509.0;;196.92751306414652;9.905151790860996
2018-01-04 04:00:00;659.0;;190.36632260345078;8.586148205103466
2018-01-04 04:00:00;909.0;;194.82647997035588;7.245228222768573
2018-01-04 07:00:00;509.0;;198.14557865947899;12.898462621568308
2018-01-04 07:00:00;659.0;;193.92834193915317;13.265024462849635
2018-01-04 07:00:00;909.0;;192.92599912470536;12.89270382813469
2018-01-04 10:00:00;509.0;;192.28395544110774;13.07126409342254
2018-01-04 10:00:00;659.0;;188.8129016377426;13.445741667903707
2018-01-04 10:00:00;909.0;;186.89742755775205;12.86510820008899
2018-01-04 13:00:00;509.0;;185.23386164721654;13.549492425917684
2018-01-04 13:00:00;659.0;;184.69286250558804;13.848425650592922
2018-01-04 13:00:00;909.0;;184.0535542318316;13.11380532111092
2018-01-04 19:00:00;509.0;;158.117664325213;13.541660348716443
2018-01-04 19:00:00;659.0;;159.16662984298574;12.453206896217466
2018-01-04 19:00:00;909.0;;163.96766064606052;9.323633733690022
2018-01-05 19:00:00;509.0;;346.38581725517116;27.130286028717023
2018-01-05 19:00:00;659.0;;340.2618111613961;32.938266271921215
2018-01-05 19:00:00;909.0;;333.78430900242495;37.77236244928295
2018-01-05 22:00:00;509.0;;349.71642934886484;24.809533691707927
2018-01-05 22:00:00;659.0;;341.56505117707826;28.988599310763437
2018-01-05 22:00:00;909.0;;334.92712082590833;31.840330541626095
2018-01-06 02:00:00;509.0;;346.3730051401099;20.984717582088074
2018-01-06 02:00:00;659.0;;339.14554196042127;25.461008326458565
2018-01-06 02:00:00;909.0;;334.5024485066629;29.6697216704164
2018-01-06 01:00:00;509.0;;345.5297058999356;19.785653893667362
2018-01-06 01:00:00;659.0;;336.5112251270143;24.03345595206787
2018-01-06 01:00:00;909.0;;330.3076595223634;27.863546597660502
2018-01-06 04:00:00;509.0;;349.09497795476693;22.866927909100404
2018-01-06 04:00:00;659.0;;344.25933546693403;27.716379453312488
2018-01-06 04:00:00;909.0;;341.5087131622824;33.125190731526224
2018-01-08 19:00:00;509.0;;83.89994003967864;13.569834671063624
2018-01-08 19:00:00;659.0;;82.0672416858282;12.687409388838981
2018-01-08 19:00:00;909.0;;78.58901687323556;11.453396221208946
2018-01-08 22:00:00;509.0;;79.34861070354347;22.847666073365495
2018-01-08 22:00:00;659.0;;78.42796606281192;22.078789391631126
2018-01-08 22:00:00;909.0;;77.79953127261962;19.495318027670343
2018-01-09 02:00:00;509.0;;72.37962822683812;34.36636327864838
2018-01-09 02:00:00;659.0;;71.40455921724356;34.884170407221035
2018-01-09 02:00:00;909.0;;71.80328589358953;31.334015286905167
2018-01-09 01:00:00;509.0;;75.36427100016023;33.42663429063718
2018-01-09 01:00:00;659.0;;75.23853223301477;33.552398215329255
2018-01-09 01:00:00;909.0;;76.29769984188047;30.00289402707689
2018-01-12 19:00:00;509.0;;316.12330271407683;3.715145892155399
2018-01-12 19:00:00;659.0;;305.9097230791765;7.375835681466748
2018-01-12 19:00:00;909.0;;300.439724380644;11.588301083419708
2018-01-12 22:00:00;509.0;;45.83031548625755;10.051871268574944
2018-01-12 22:00:00;659.0;;32.69198418257156;8.199990365847972
2018-01-12 22:00:00;909.0;;0.9093804492029774;6.489817408833513
2018-01-13 22:00:00;509.0;;62.19854122006581;6.404248121364414
2018-01-13 22:00:00;659.0;;42.64670313389452;5.321223637473147
2018-01-13 22:00:00;909.0;;12.907408671269435;5.072161767924884
2018-01-14 02:00:00;509.0;;30.832944477370262;15.474014669762086
2018-01-14 02:00:00;659.0;;29.701409545411607;16.838216206000077
2018-01-14 02:00:00;909.0;;29.70345268557003;17.66862852628931
2018-01-14 01:00:00;509.0;;34.20345682817665;15.941059469182292
2018-01-14 01:00:00;659.0;;33.59344741602783;16.940290729500585
2018-01-14 01:00:00;909.0;;35.49780599638392;17.205933424258053
2018-01-14 04:00:00;509.0;;19.064547431333946;14.820909047693462
2018-01-14 04:00:00;659.0;;18.10376303450739;16.9048700971051
2018-01-14 04:00:00;909.0;;16.548940854971143;18.803918767108154
2018-01-14 22:00:00;509.0;;25.016893478101178;15.344580346167747
2018-01-14 22:00:00;659.0;;16.504361381754908;14.502531675538362
2018-01-14 22:00:00;909.0;;0.4476141708630237;13.184402337610926
2018-01-15 02:00:00;509.0;;343.6104596659667;12.776152550748481
2018-01-15 02:00:00;659.0;;337.16634582208326;14.863795780351479
2018-01-15 02:00:00;909.0;;328.979345989596;17.78801352034556
2018-01-15 01:00:00;509.0;;349.9630975460384;11.8198951348985
2018-01-15 01:00:00;659.0;;341.42765148959495;13.582337832641151
2018-01-15 01:00:00;909.0;;332.14034930475844;16.310465474657633
