X,Y,Name,description,altitudeMode,hora,ano,DDLon,Frp.1,precipitacao,bioma,frp,datahora,satelite,latitude,riscofogo,diasemchuva,pais,estado,municipio,Field_1,DDLat,data/hora,OID,longitude,mês,Mês/Ano,Índice
-43.7534,-22.903200001677,54325,,clampToGround,0.191666667,2019,043.75340000W,"&lt;Nulo&gt;","0,1",Mata Atlantica,3.7,08/01/2019,NPP-375,"-22,9032","0,6",3,Brasil,RIO DE JANEIRO,RIO DE JANEIRO,54325,22.90320000S,08/01/2019 04:36:00,35864,"-43,7534",1,12019,54325
-42.3968,-22.8228000016751,54337,,clampToGround,0.708333333,2019,042.39680000W,"&lt;Nulo&gt;",0,Mata Atlantica,2.4,08/01/2019,NPP-375,"-22,8228",1,6,Brasil,RIO DE JANEIRO,ARARUAMA,54337,22.82280000S,08/01/2019 17:00:00,35876,"-42,3968",1,12019,54337
-42.4059,-22.8752000016764,54338,,clampToGround,0.708333333,2019,042.40590000W,"&lt;Nulo&gt;",0,Mata Atlantica,3.9,08/01/2019,NPP-375,"-22,8752",1,7,Brasil,RIO DE JANEIRO,SAQUAREMA,54338,22.87520000S,08/01/2019 17:00:00,35877,"-42,4059",1,12019,54338
-42.5798,-22.8302000016753,54339,,clampToGround,0.708333333,2019,042.57980000W,"&lt;Nulo&gt;",0,Mata Atlantica,8,08/01/2019,NPP-375,"-22,8302",1,8,Brasil,RIO DE JANEIRO,SAQUAREMA,54339,22.83020000S,08/01/2019 17:00:00,35878,"-42,5798",1,12019,54339
-42.4002,-22.858100001676,54340,,clampToGround,0.708333333,2019,042.40020000W,"&lt;Nulo&gt;",0,Mata Atlantica,1.7,08/01/2019,NPP-375,"-22,8581",1,7,Brasil,RIO DE JANEIRO,SAQUAREMA,54340,22.85810000S,08/01/2019 17:00:00,35879,"-42,4002",1,12019,54340
-42.4072,-22.8702000016763,54341,,clampToGround,0.708333333,2019,042.40720000W,"&lt;Nulo&gt;",0,Mata Atlantica,2.3,08/01/2019,NPP-375,"-22,8702",1,7,Brasil,RIO DE JANEIRO,SAQUAREMA,54341,22.87020000S,08/01/2019 17:00:00,35880,"-42,4072",1,12019,54341
-42.5738,-22.8289000016753,54342,,clampToGround,0.708333333,2019,042.57380000W,"&lt;Nulo&gt;",0,Mata Atlantica,8,08/01/2019,NPP-375,"-22,8289",1,8,Brasil,RIO DE JANEIRO,SAQUAREMA,54342,22.82890000S,08/01/2019 17:00:00,35881,"-42,5738",1,12019,54342
-42.0723,-20.9876000016315,54343,,clampToGround,0.708333333,2019,042.07230000W,"&lt;Nulo&gt;",0,Mata Atlantica,2.3,08/01/2019,NPP-375,"-20,9876",1,3,Brasil,RIO DE JANEIRO,PORCIUNCULA,54343,20.98760000S,08/01/2019 17:00:00,35882,"-42,0723",1,12019,54343
-42.8668,-22.6323000016708,54344,,clampToGround,0.708333333,2019,042.86680000W,"&lt;Nulo&gt;","0,2",Mata Atlantica,4.3,08/01/2019,NPP-375,"-22,6323",1,2,Brasil,RIO DE JANEIRO,CACHOEIRAS DE MACACU,54344,22.63230000S,08/01/2019 17:00:00,35883,"-42,8668",1,12019,54344
-42.2197,-22.7209000016728,54345,,clampToGround,0.708333333,2019,042.21970000W,"&lt;Nulo&gt;",0,Mata Atlantica,2.1,08/01/2019,NPP-375,"-22,7209",1,4,Brasil,RIO DE JANEIRO,ARARUAMA,54345,22.72090000S,08/01/2019 17:00:00,35884,"-42,2197",1,12019,54345
-41.561,-22.088400001658,54346,,clampToGround,0.708333333,2019,041.56100000W,"&lt;Nulo&gt;",0,Mata Atlantica,1,08/01/2019,NPP-375,"-22,0884",1,4,Brasil,RIO DE JANEIRO,QUISSAMA,54346,22.08840000S,08/01/2019 17:00:00,35885,"-41,561",1,12019,54346
-42.0259,-22.6673000016716,54347,,clampToGround,0.708333333,2019,042.02590000W,"&lt;Nulo&gt;",0,Mata Atlantica,1.8,08/01/2019,NPP-375,"-22,6673",1,3,Brasil,RIO DE JANEIRO,CABO FRIO,54347,22.66730000S,08/01/2019 17:00:00,35886,"-42,0259",1,12019,54347
-43.4436,-22.4234000016659,54350,,clampToGround,0.179166667,2019,043.44360000W,"&lt;Nulo&gt;",0,Mata Atlantica,0.9,09/01/2019,NPP-375,"-22,4234",1,0,Brasil,RIO DE JANEIRO,PATY DO ALFERES,54350,22.42340000S,09/01/2019 04:18:00,35889,"-43,4436",1,12019,54350
