X,Y,Name,description,altitudeMode,hora,ano,DDLon,Frp.1,precipitacao,bioma,frp,datahora,satelite,latitude,riscofogo,diasemchuva,pais,estado,municipio,Field_1,DDLat,data/hora,OID,longitude,mês,Mês/Ano,Índice
-41.3794,-21.6376000016473,53997,,clampToGround,0.666666667,2018,041.37940000W,"&lt;Nulo&gt;",0,Mata Atlantica,5.8,03/11/2018,NPP-375,"-21,6376","0,6",0,Brasil,RIO DE JANEIRO,CAMPOS DOS GOYTACAZES,53997,21.63760000S,03/11/2018 16:00:00,35536,"-41,3794",11,112018,53997
-42.9257,-22.9543000016782,53998,,clampToGround,0.666666667,2018,042.92570000W,"&lt;Nulo&gt;",0,Mata Atlantica,7,03/11/2018,NPP-375,"-22,9543","0,7",2,Brasil,RIO DE JANEIRO,MARICA,53998,22.95430000S,03/11/2018 16:00:00,35537,"-42,9257",11,112018,53998
-42.5029,-22.7608000016738,53999,,clampToGround,0.666666667,2018,042.50290000W,"&lt;Nulo&gt;",0,Mata Atlantica,4.1,03/11/2018,NPP-375,"-22,7608",1,2,Brasil,RIO DE JANEIRO,RIO BONITO,53999,22.76080000S,03/11/2018 16:00:00,35538,"-42,5029",11,112018,53999
-42.1234,-22.5944000016699,54000,,clampToGround,0.666666667,2018,042.12340000W,"&lt;Nulo&gt;",0,Mata Atlantica,4.9,03/11/2018,NPP-375,"-22,5944",1,2,Brasil,RIO DE JANEIRO,CABO FRIO,54000,22.59440000S,03/11/2018 16:00:00,35539,"-42,1234",11,112018,54000
-42.9226,-22.9506000016781,54001,,clampToGround,0.666666667,2018,042.92260000W,"&lt;Nulo&gt;",0,Mata Atlantica,5,03/11/2018,NPP-375,"-22,9506","0,8",2,Brasil,RIO DE JANEIRO,MARICA,54001,22.95060000S,03/11/2018 16:00:00,35540,"-42,9226",11,112018,54001
-43.6887,-22.8522000016758,54002,,clampToGround,0.683333333,2018,043.68870000W,"&lt;Nulo&gt;","2,6",Mata Atlantica,9.6,07/11/2018,NPP-375,"-22,8522","0,2",0,Brasil,RIO DE JANEIRO,SEROPEDICA,54002,22.85220000S,07/11/2018 16:24:00,35541,"-43,6887",11,112018,54002
-43.5952,-22.2348000016615,54005,,clampToGround,0.6875,2018,043.59520000W,"&lt;Nulo&gt;",0,Mata Atlantica,9.4,12/11/2018,NPP-375,"-22,2348",1,2,Brasil,RIO DE JANEIRO,RIO DAS FLORES,54005,22.23480000S,12/11/2018 16:30:00,35544,"-43,5952",11,112018,54005
-42.6758,-22.214500001661,54006,,clampToGround,0.6875,2018,042.67580000W,"&lt;Nulo&gt;",0,Mata Atlantica,3,12/11/2018,NPP-375,"-22,2145","0,6",3,Brasil,RIO DE JANEIRO,SUMIDOURO,54006,22.21450000S,12/11/2018 16:30:00,35545,"-42,6758",11,112018,54006
-43.6026,-22.128100001659,54007,,clampToGround,0.6875,2018,043.60260000W,"&lt;Nulo&gt;",0,Mata Atlantica,4.9,12/11/2018,NPP-375,"-22,1281",1,2,Brasil,RIO DE JANEIRO,RIO DAS FLORES,54007,22.12810000S,12/11/2018 16:30:00,35546,"-43,6026",11,112018,54007
-43.5946,-22.2381000016615,54008,,clampToGround,0.6875,2018,043.59460000W,"&lt;Nulo&gt;",0,Mata Atlantica,4,12/11/2018,NPP-375,"-22,2381",1,2,Brasil,RIO DE JANEIRO,RIO DAS FLORES,54008,22.23810000S,12/11/2018 16:30:00,35547,"-43,5946",11,112018,54008
-41.4602,-21.8533000016524,54009,,clampToGround,0.6875,2018,041.46020000W,"&lt;Nulo&gt;",0,Mata Atlantica,3.4,12/11/2018,NPP-375,"-21,8533",0,2,Brasil,RIO DE JANEIRO,CAMPOS DOS GOYTACAZES,54009,21.85330000S,12/11/2018 16:30:00,35548,"-41,4602",11,112018,54009
-43.6496,-22.8674000016762,54010,,clampToGround,0.6875,2018,043.64960000W,"&lt;Nulo&gt;",0,Mata Atlantica,4.6,12/11/2018,NPP-375,"-22,8674","0,2",3,Brasil,RIO DE JANEIRO,RIO DE JANEIRO,54010,22.86740000S,12/11/2018 16:30:00,35549,"-43,6496",11,112018,54010
-42.6426,-22.8172000016751,54011,,clampToGround,0.6875,2018,042.64260000W,"&lt;Nulo&gt;",0,Mata Atlantica,2,12/11/2018,NPP-375,"-22,8172","0,3",2,Brasil,RIO DE JANEIRO,RIO BONITO,54011,22.81720000S,12/11/2018 16:30:00,35550,"-42,6426",11,112018,54011
-43.8311,-22.1353000016591,54012,,clampToGround,0.675,2018,043.83110000W,"&lt;Nulo&gt;",0,Mata Atlantica,8.1,13/11/2018,NPP-375,"-22,1353",1,3,Brasil,RIO DE JANEIRO,VALENCA,54012,22.13530000S,13/11/2018 16:12:00,35551,"-43,8311",11,112018,54012
-43.752,-22.9007000016769,54013,,clampToGround,0.141666667,2018,043.75200000W,"&lt;Nulo&gt;",0,Mata Atlantica,1.7,14/11/2018,NPP-375,"-22,9007","0,6",4,Brasil,RIO DE JANEIRO,RIO DE JANEIRO,54013,22.90070000S,14/11/2018 03:24:00,35552,"-43,752",11,112018,54013
-43.7536,-22.903200001677,54014,,clampToGround,0.6625,2018,043.75360000W,"&lt;Nulo&gt;",0,Mata Atlantica,2.8,14/11/2018,NPP-375,"-22,9032","0,6",4,Brasil,RIO DE JANEIRO,RIO DE JANEIRO,54014,22.90320000S,14/11/2018 15:54:00,35553,"-43,7536",11,112018,54014
-43.7516,-22.900500001677,54015,,clampToGround,0.6625,2018,043.75160000W,"&lt;Nulo&gt;",0,Mata Atlantica,3,14/11/2018,NPP-375,"-22,9005","0,6",4,Brasil,RIO DE JANEIRO,RIO DE JANEIRO,54015,22.90050000S,14/11/2018 15:54:00,35554,"-43,7516",11,112018,54015
-44.0784,-22.2516000016619,54016,,clampToGround,0.6625,2018,044.07840000W,"&lt;Nulo&gt;","0,1",Mata Atlantica,1.5,14/11/2018,NPP-375,"-22,2516",1,2,Brasil,RIO DE JANEIRO,VALENCA,54016,22.25160000S,14/11/2018 15:54:00,35555,"-44,0784",11,112018,54016
-41.465,-21.8638000016527,54017,,clampToGround,0.6625,2018,041.46500000W,"&lt;Nulo&gt;",0,Mata Atlantica,5.6,14/11/2018,NPP-375,"-21,8638","0,2",4,Brasil,RIO DE JANEIRO,CAMPOS DOS GOYTACAZES,54017,21.86380000S,14/11/2018 15:54:00,35556,"-41,465",11,112018,54017
-43.3662,-22.0473000016571,54018,,clampToGround,0.6625,2018,043.36620000W,"&lt;Nulo&gt;","0,4",Mata Atlantica,3.9,14/11/2018,NPP-375,"-22,0473",1,4,Brasil,RIO DE JANEIRO,PARAIBA DO SUL,54018,22.04730000S,14/11/2018 15:54:00,35557,"-43,3662",11,112018,54018
-41.7039,-21.7321000016496,54019,,clampToGround,0.720833333,2018,041.70390000W,"&lt;Nulo&gt;","2,2",Mata Atlantica,5.9,15/11/2018,NPP-375,"-21,7321","0,1",4,Brasil,RIO DE JANEIRO,SAO FIDELIS,54019,21.73210000S,15/11/2018 17:18:00,35558,"-41,7039",11,112018,54019
-43.7532,-22.902200001677,54020,,clampToGround,0.691666667,2018,043.75320000W,"&lt;Nulo&gt;","0,2",Mata Atlantica,3.5,17/11/2018,NPP-375,"-22,9022","0,6",2,Brasil,RIO DE JANEIRO,RIO DE JANEIRO,54020,22.90220000S,17/11/2018 16:36:00,35559,"-43,7532",11,112018,54020
-41.2242,-21.8067000016513,54021,,clampToGround,0.691666667,2018,041.22420000W,"&lt;Nulo&gt;","0,5",Mata Atlantica,3.7,17/11/2018,NPP-375,"-21,8067","0,5",7,Brasil,RIO DE JANEIRO,CAMPOS DOS GOYTACAZES,54021,21.80670000S,17/11/2018 16:36:00,35560,"-41,2242",11,112018,54021
-43.7588,-22.7857000016743,54022,,clampToGround,0.158333333,2018,043.75880000W,"&lt;Nulo&gt;","0,6",Mata Atlantica,1.2,18/11/2018,NPP-375,"-22,7857",1,3,Brasil,RIO DE JANEIRO,SEROPEDICA,54022,22.78570000S,18/11/2018 03:48:00,35561,"-43,7588",11,112018,54022
-42.4329,-22.8006000016746,54023,,clampToGround,0.679166667,2018,042.43290000W,"&lt;Nulo&gt;","0,1",Mata Atlantica,6.2,18/11/2018,NPP-375,"-22,8006",1,8,Brasil,RIO DE JANEIRO,ARARUAMA,54023,22.80060000S,18/11/2018 16:18:00,35562,"-42,4329",11,112018,54023
-43.7573,-22.7862000016743,54024,,clampToGround,0.179166667,2018,043.75730000W,"&lt;Nulo&gt;",0,Mata Atlantica,1.7,22/11/2018,NPP-375,"-22,7862","0,8",0,Brasil,RIO DE JANEIRO,SEROPEDICA,54024,22.78620000S,22/11/2018 04:18:00,35563,"-43,7573",11,112018,54024
-43.7533,-22.903000001677,54025,,clampToGround,0.695833333,2018,043.75330000W,"&lt;Nulo&gt;",0,Mata Atlantica,5.3,22/11/2018,NPP-375,"-22,903","0,4",0,Brasil,RIO DE JANEIRO,RIO DE JANEIRO,54025,22.90300000S,22/11/2018 16:42:00,35564,"-43,7533",11,112018,54025
-42.1545,-22.5381000016686,54026,,clampToGround,0.15,2018,042.15450000W,"&lt;Nulo&gt;",7,Mata Atlantica,0.7,24/11/2018,NPP-375,"-22,5381",0,0,Brasil,RIO DE JANEIRO,CASIMIRO DE ABREU,54026,22.53810000S,24/11/2018 03:36:00,35565,"-42,1545",11,112018,54026
-44.0469,-22.3267000016636,54027,,clampToGround,0.7,2018,044.04690000W,"&lt;Nulo&gt;",0,Mata Atlantica,2.8,27/11/2018,NPP-375,"-22,3267","0,3",2,Brasil,RIO DE JANEIRO,BARRA DO PIRAI,54027,22.32670000S,27/11/2018 16:48:00,35566,"-44,0469",11,112018,54027
-41.4574,-21.7316000016496,54028,,clampToGround,0.7,2018,041.45740000W,"&lt;Nulo&gt;","2,3",Mata Atlantica,10.1,27/11/2018,NPP-375,"-21,7316",0,0,Brasil,RIO DE JANEIRO,CAMPOS DOS GOYTACAZES,54028,21.73160000S,27/11/2018 16:48:00,35567,"-41,4574",11,112018,54028
-44.35,-22.5707000016693,54029,,clampToGround,0.7,2018,044.35000000W,"&lt;Nulo&gt;",0,Mata Atlantica,1.6,27/11/2018,NPP-375,"-22,5707","0,5",0,Brasil,RIO DE JANEIRO,RESENDE,54029,22.57070000S,27/11/2018 16:48:00,35568,"-44,35",11,112018,54029
-42.7472,-22.1082000016585,54030,,clampToGround,0.6875,2018,042.74720000W,"&lt;Nulo&gt;","0,7",Mata Atlantica,3.7,28/11/2018,NPP-375,"-22,1082","0,9",0,Brasil,RIO DE JANEIRO,SUMIDOURO,54030,22.10820000S,28/11/2018 16:30:00,35569,"-42,7472",11,112018,54030
