X,Y,Name,description,altitudeMode,hora,ano,DDLon,Frp.1,precipitacao,bioma,frp,datahora,satelite,latitude,riscofogo,diasemchuva,pais,estado,municipio,Field_1,DDLat,data/hora,OID,longitude,mês,Mês/Ano,Índice
-43.7556,-22.7869000016744,55937,,clampToGround,0.179166667,2019,043.75560000W,"&lt;Nulo&gt;",0,Mata Atlantica,1.1,20/04/2019,NPP-375,"-22,7869","0,4",3,Brasil,RIO DE JANEIRO,SEROPEDICA,55937,22.78690000S,20/04/2019 04:18:00,37476,"-43,7556",4,42019,55937
-43.7514,-22.901300001677,55939,,clampToGround,0.7,2019,043.75140000W,"&lt;Nulo&gt;",0,Mata Atlantica,5.9,20/04/2019,NPP-375,"-22,9013","0,4",4,Brasil,RIO DE JANEIRO,RIO DE JANEIRO,55939,22.90130000S,20/04/2019 16:48:00,37478,"-43,7514",4,42019,55939
-42.4276,-22.7984000016746,55940,,clampToGround,0.7,2019,042.42760000W,"&lt;Nulo&gt;",0,Mata Atlantica,1.2,20/04/2019,NPP-375,"-22,7984",1,3,Brasil,RIO DE JANEIRO,ARARUAMA,55940,22.79840000S,20/04/2019 16:48:00,37479,"-42,4276",4,42019,55940
-43.7523,-22.902600001677,55941,,clampToGround,0.166666667,2019,043.75230000W,"&lt;Nulo&gt;",0,Mata Atlantica,2.1,21/04/2019,NPP-375,"-22,9026","0,5",5,Brasil,RIO DE JANEIRO,RIO DE JANEIRO,55941,22.90260000S,21/04/2019 04:00:00,37480,"-43,7523",4,42019,55941
-43.7561,-22.902100001677,55942,,clampToGround,0.166666667,2019,043.75610000W,"&lt;Nulo&gt;",0,Mata Atlantica,0.6,21/04/2019,NPP-375,"-22,9021","0,5",5,Brasil,RIO DE JANEIRO,RIO DE JANEIRO,55942,22.90210000S,21/04/2019 04:00:00,37481,"-43,7561",4,42019,55942
-42.2697,-21.9409000016546,55943,,clampToGround,0.166666667,2019,042.26970000W,"&lt;Nulo&gt;",0,Mata Atlantica,0.6,21/04/2019,NPP-375,"-21,9409","0,9",4,Brasil,RIO DE JANEIRO,CANTAGALO,55943,21.94090000S,21/04/2019 04:00:00,37482,"-42,2697",4,42019,55943
-43.7168,-22.7004000016723,55944,,clampToGround,0.6875,2019,043.71680000W,"&lt;Nulo&gt;",0,Mata Atlantica,4,21/04/2019,NPP-375,"-22,7004","0,7",4,Brasil,RIO DE JANEIRO,SEROPEDICA,55944,22.70040000S,21/04/2019 16:30:00,37483,"-43,7168",4,42019,55944
-42.7422,-22.2606000016621,55945,,clampToGround,0.6875,2019,042.74220000W,"&lt;Nulo&gt;",0,Mata Atlantica,4.1,21/04/2019,NPP-375,"-22,2606","0,1",4,Brasil,RIO DE JANEIRO,TERESOPOLIS,55945,22.26060000S,21/04/2019 16:30:00,37484,"-42,7422",4,42019,55945
-42.7428,-22.257300001662,55946,,clampToGround,0.6875,2019,042.74280000W,"&lt;Nulo&gt;",0,Mata Atlantica,5.5,21/04/2019,NPP-375,"-22,2573","0,1",4,Brasil,RIO DE JANEIRO,TERESOPOLIS,55946,22.25730000S,21/04/2019 16:30:00,37485,"-42,7428",4,42019,55946
-42.1975,-22.4846000016673,55947,,clampToGround,0.6875,2019,042.19750000W,"&lt;Nulo&gt;",0,Mata Atlantica,3.2,21/04/2019,NPP-375,"-22,4846","0,9",3,Brasil,RIO DE JANEIRO,CASIMIRO DE ABREU,55947,22.48460000S,21/04/2019 16:30:00,37486,"-42,1975",4,42019,55947
