X,Y,Name,description,altitudeMode,hora,ano,DDLon,Frp.1,precipitacao,bioma,frp,datahora,satelite,latitude,riscofogo,diasemchuva,pais,estado,municipio,Field_1,DDLat,data/hora,OID,longitude,mês,Mês/Ano,Índice
-42.1634,-21.3220000016397,56142,,clampToGround,0.658333333,2019,042.16340000W,"&lt;Nulo&gt;",0,Mata Atlantica,0.3,20/05/2019,NPP-375,"-21,322","0,9",2,Brasil,RIO DE JANEIRO,MIRACEMA,56142,21.32200000S,20/05/2019 15:48:00,37681,"-42,1634",5,52019,56142
-43.7546,-22.7854000016743,56148,,clampToGround,0.183333333,2019,043.75460000W,"&lt;Nulo&gt;",0,Mata Atlantica,1.1,22/05/2019,NPP-375,"-22,7854",1,4,Brasil,RIO DE JANEIRO,SEROPEDICA,56148,22.78540000S,22/05/2019 04:24:00,37687,"-43,7546",5,52019,56148
-43.7514,-22.901200001677,56149,,clampToGround,0.183333333,2019,043.75140000W,"&lt;Nulo&gt;",0,Mata Atlantica,3.3,22/05/2019,NPP-375,"-22,9012","0,7",4,Brasil,RIO DE JANEIRO,RIO DE JANEIRO,56149,22.90120000S,22/05/2019 04:24:00,37688,"-43,7514",5,52019,56149
-43.7155,-22.7963000016745,56157,,clampToGround,0.7,2019,043.71550000W,"&lt;Nulo&gt;",0,Mata Atlantica,2.5,22/05/2019,NPP-375,"-22,7963",1,4,Brasil,RIO DE JANEIRO,SEROPEDICA,56157,22.79630000S,22/05/2019 16:48:00,37696,"-43,7155",5,52019,56157
-42.0563,-21.0948000016342,56158,,clampToGround,0.7,2019,042.05630000W,"&lt;Nulo&gt;",0,Mata Atlantica,3.9,22/05/2019,NPP-375,"-21,0948",1,4,Brasil,RIO DE JANEIRO,ITAPERUNA,56158,21.09480000S,22/05/2019 16:48:00,37697,"-42,0563",5,52019,56158
-43.5665,-22.5514000016689,56159,,clampToGround,0.7,2019,043.56650000W,"&lt;Nulo&gt;",0,Mata Atlantica,6.5,22/05/2019,NPP-375,"-22,5514","0,8",4,Brasil,RIO DE JANEIRO,MIGUEL PEREIRA,56159,22.55140000S,22/05/2019 16:48:00,37698,"-43,5665",5,52019,56159
-41.982,-21.4617000016431,56161,,clampToGround,0.6875,2019,041.98200000W,"&lt;Nulo&gt;",0,Mata Atlantica,7.8,23/05/2019,NPP-375,"-21,4617","0,9",5,Brasil,RIO DE JANEIRO,SAO JOSE DE UBA,56161,21.46170000S,23/05/2019 16:30:00,37700,"-41,982",5,52019,56161
-43.7528,-22.903000001677,56162,,clampToGround,0.6875,2019,043.75280000W,"&lt;Nulo&gt;",0,Mata Atlantica,4.3,23/05/2019,NPP-375,"-22,903","0,9",5,Brasil,RIO DE JANEIRO,RIO DE JANEIRO,56162,22.90300000S,23/05/2019 16:30:00,37701,"-43,7528",5,52019,56162
-42.2477,-21.4806000016435,56163,,clampToGround,0.6875,2019,042.24770000W,"&lt;Nulo&gt;",0,Mata Atlantica,7.3,23/05/2019,NPP-375,"-21,4806",1,5,Brasil,RIO DE JANEIRO,SANTO ANTONIO DE PADUA,56163,21.48060000S,23/05/2019 16:30:00,37702,"-42,2477",5,52019,56163
-43.1837,-22.3098000016632,56164,,clampToGround,0.6875,2019,043.18370000W,"&lt;Nulo&gt;",0,Mata Atlantica,2.8,23/05/2019,NPP-375,"-22,3098","0,9",5,Brasil,RIO DE JANEIRO,PETROPOLIS,56164,22.30980000S,23/05/2019 16:30:00,37703,"-43,1837",5,52019,56164
