X,Y,Name,description,altitudeMode,hora,ano,DDLon,Frp.1,precipitacao,bioma,frp,datahora,satelite,latitude,riscofogo,diasemchuva,pais,estado,municipio,Field_1,DDLat,data/hora,OID,longitude,mês,Mês/Ano,Índice
-42.8332,-22.1796000016602,53374,,clampToGround,0.191666667,2018,042.83320000W,"&lt;Nulo&gt;",0,Mata Atlantica,1.9,02/09/2018,NPP-375,"-22,1796","0,7",7,Brasil,RIO DE JANEIRO,TERESOPOLIS,53374,22.17960000S,02/09/2018 04:36:00,34913,"-42,8332",9,92018,53374
-42.8262,-22.1753000016601,53375,,clampToGround,0.191666667,2018,042.82620000W,"&lt;Nulo&gt;",0,Mata Atlantica,0.6,02/09/2018,NPP-375,"-22,1753",1,7,Brasil,RIO DE JANEIRO,TERESOPOLIS,53375,22.17530000S,02/09/2018 04:36:00,34914,"-42,8262",9,92018,53375
-41.3088,-21.4863000016436,53387,,clampToGround,0.641666667,2018,041.30880000W,"&lt;Nulo&gt;",0,Mata Atlantica,4.1,02/09/2018,NPP-375,"-21,4863",1,8,Brasil,RIO DE JANEIRO,CAMPOS DOS GOYTACAZES,53387,21.48630000S,02/09/2018 15:24:00,34926,"-41,3088",9,92018,53387
-41.3082,-21.4857000016437,53388,,clampToGround,0.641666667,2018,041.30820000W,"&lt;Nulo&gt;",0,Mata Atlantica,5.1,02/09/2018,NPP-375,"-21,4857",1,8,Brasil,RIO DE JANEIRO,CAMPOS DOS GOYTACAZES,53388,21.48570000S,02/09/2018 15:24:00,34927,"-41,3082",9,92018,53388
-44.5184,-22.469800001667,53389,,clampToGround,0.708333333,2018,044.51840000W,"&lt;Nulo&gt;",0,Mata Atlantica,38.8,02/09/2018,NPP-375,"-22,4698","0,7",7,Brasil,RIO DE JANEIRO,ITATIAIA,53389,22.46980000S,02/09/2018 17:00:00,34928,"-44,5184",9,92018,53389
-44.0955,-22.5399000016686,53390,,clampToGround,0.708333333,2018,044.09550000W,"&lt;Nulo&gt;",0,Mata Atlantica,5.1,02/09/2018,NPP-375,"-22,5399","0,6",7,Brasil,RIO DE JANEIRO,BARRA MANSA,53390,22.53990000S,02/09/2018 17:00:00,34929,"-44,0955",9,92018,53390
-42.7244,-22.8221000016751,53391,,clampToGround,0.708333333,2018,042.72440000W,"&lt;Nulo&gt;",0,Mata Atlantica,5,02/09/2018,NPP-375,"-22,8221",1,6,Brasil,RIO DE JANEIRO,TANGUA,53391,22.82210000S,02/09/2018 17:00:00,34930,"-42,7244",9,92018,53391
-44.065,-22.8414000016756,53392,,clampToGround,0.708333333,2018,044.06500000W,"&lt;Nulo&gt;",0,Mata Atlantica,9.1,02/09/2018,NPP-375,"-22,8414","0,7",7,Brasil,RIO DE JANEIRO,RIO CLARO,53392,22.84140000S,02/09/2018 17:00:00,34931,"-44,065",9,92018,53392
-43.8207,-22.5837000016697,53393,,clampToGround,0.708333333,2018,043.82070000W,"&lt;Nulo&gt;",0,Mata Atlantica,13.3,02/09/2018,NPP-375,"-22,5837","0,9",5,Brasil,RIO DE JANEIRO,PIRAI,53393,22.58370000S,02/09/2018 17:00:00,34932,"-43,8207",9,92018,53393
-43.6713,-22.8382000016755,53394,,clampToGround,0.708333333,2018,043.67130000W,"&lt;Nulo&gt;",0,Mata Atlantica,3.1,02/09/2018,NPP-375,"-22,8382","0,9",7,Brasil,RIO DE JANEIRO,SEROPEDICA,53394,22.83820000S,02/09/2018 17:00:00,34933,"-43,6713",9,92018,53394
-43.706,-22.7218000016728,53395,,clampToGround,0.708333333,2018,043.70600000W,"&lt;Nulo&gt;",0,Mata Atlantica,4.6,02/09/2018,NPP-375,"-22,7218","0,8",6,Brasil,RIO DE JANEIRO,SEROPEDICA,53395,22.72180000S,02/09/2018 17:00:00,34934,"-43,706",9,92018,53395
