X,Y,Name,description,altitudeMode,hora,ano,DDLon,Frp.1,precipitacao,bioma,frp,datahora,satelite,latitude,riscofogo,diasemchuva,pais,estado,municipio,Field_1,DDLat,data/hora,OID,longitude,mês,Mês/Ano,Índice
-42.9796,-22.857300001676,52999,,clampToGround,0.1625,2018,042.97960000W,"&lt;Nulo&gt;","54,4",Mata Atlantica,0.7,03/08/2018,NPP-375,"-22,8573",0,20,Brasil,RIO DE JANEIRO,SAO GONCALO,52999,22.85730000S,03/08/2018 03:54:00,34538,"-42,9796",8,82018,52999
-43.7558,-22.7869000016744,53000,,clampToGround,0.154166667,2018,043.75580000W,"&lt;Nulo&gt;","3,2",Mata Atlantica,1.1,09/08/2018,NPP-375,"-22,7869",0,0,Brasil,RIO DE JANEIRO,SEROPEDICA,53000,22.78690000S,09/08/2018 03:42:00,34539,"-43,7558",8,82018,53000
-43.7745,-22.7913000016744,53001,,clampToGround,0.675,2018,043.77450000W,"&lt;Nulo&gt;","3,2",Mata Atlantica,11.4,09/08/2018,NPP-375,"-22,7913",0,0,Brasil,RIO DE JANEIRO,SEROPEDICA,53001,22.79130000S,09/08/2018 16:12:00,34540,"-43,7745",8,82018,53001
-43.7565,-22.7835000016743,53004,,clampToGround,0.141666667,2018,043.75650000W,"&lt;Nulo&gt;","3,1",Mata Atlantica,0.5,10/08/2018,NPP-375,"-22,7835",0,0,Brasil,RIO DE JANEIRO,SEROPEDICA,53004,22.78350000S,10/08/2018 03:24:00,34543,"-43,7565",8,82018,53004
-43.758,-22.7886000016744,53005,,clampToGround,0.141666667,2018,043.75800000W,"&lt;Nulo&gt;",3,Mata Atlantica,0.5,10/08/2018,NPP-375,"-22,7886",0,0,Brasil,RIO DE JANEIRO,SEROPEDICA,53005,22.78860000S,10/08/2018 03:24:00,34544,"-43,758",8,82018,53005
-42.9792,-22.8567000016759,53006,,clampToGround,0.141666667,2018,042.97920000W,"&lt;Nulo&gt;","0,4",Mata Atlantica,4.8,10/08/2018,NPP-375,"-22,8567",0,0,Brasil,RIO DE JANEIRO,SAO GONCALO,53006,22.85670000S,10/08/2018 03:24:00,34545,"-42,9792",8,82018,53006
-43.3174,-22.2284000016614,53007,,clampToGround,0.6625,2018,043.31740000W,"&lt;Nulo&gt;",0,Mata Atlantica,1.4,10/08/2018,NPP-375,"-22,2284",0,1,Brasil,RIO DE JANEIRO,PARAIBA DO SUL,53007,22.22840000S,10/08/2018 15:54:00,34546,"-43,3174",8,82018,53007
-43.2501,-22.1475000016594,53008,,clampToGround,0.6625,2018,043.25010000W,"&lt;Nulo&gt;",0,Mata Atlantica,5.9,10/08/2018,NPP-375,"-22,1475",0,0,Brasil,RIO DE JANEIRO,PARAIBA DO SUL,53008,22.14750000S,10/08/2018 15:54:00,34547,"-43,2501",8,82018,53008
-43.2467,-22.1471000016594,53009,,clampToGround,0.6625,2018,043.24670000W,"&lt;Nulo&gt;",0,Mata Atlantica,6.1,10/08/2018,NPP-375,"-22,1471",0,0,Brasil,RIO DE JANEIRO,PARAIBA DO SUL,53009,22.14710000S,10/08/2018 15:54:00,34548,"-43,2467",8,82018,53009
-43.7931,-22.7217000016728,53010,,clampToGround,0.6625,2018,043.79310000W,"&lt;Nulo&gt;",2,Mata Atlantica,2.9,10/08/2018,NPP-375,"-22,7217",0,0,Brasil,RIO DE JANEIRO,ITAGUAI,53010,22.72170000S,10/08/2018 15:54:00,34549,"-43,7931",8,82018,53010
