X,Y,Name,description,altitudeMode,hora,ano,DDLon,Frp.1,precipitacao,bioma,frp,datahora,satelite,latitude,riscofogo,diasemchuva,pais,estado,municipio,Field_1,DDLat,data/hora,OID,longitude,mês,Mês/Ano,Índice
-43.7566,-22.901500001677,52255,,clampToGround,0.175,2018,043.75660000W,"&lt;Nulo&gt;",0,Mata Atlantica,1.3,01/07/2018,NPP-375,"-22,9015",1,0,Brasil,RIO DE JANEIRO,RIO DE JANEIRO,52255,22.90150000S,01/07/2018 04:12:00,33794,"-43,7566",7,72018,52255
-43.1105,-22.4582000016667,52256,,clampToGround,0.175,2018,043.11050000W,"&lt;Nulo&gt;",0,Mata Atlantica,2.1,01/07/2018,NPP-375,"-22,4582","0,7",20,Brasil,RIO DE JANEIRO,PETROPOLIS,52256,22.45820000S,01/07/2018 04:12:00,33795,"-43,1105",7,72018,52256
-43.7568,-22.7082000016725,52257,,clampToGround,0.175,2018,043.75680000W,"&lt;Nulo&gt;",0,Mata Atlantica,1.1,01/07/2018,NPP-375,"-22,7082",1,6,Brasil,RIO DE JANEIRO,ITAGUAI,52257,22.70820000S,01/07/2018 04:12:00,33796,"-43,7568",7,72018,52257
-43.7562,-22.7047000016724,52258,,clampToGround,0.175,2018,043.75620000W,"&lt;Nulo&gt;",0,Mata Atlantica,1.1,01/07/2018,NPP-375,"-22,7047",1,7,Brasil,RIO DE JANEIRO,ITAGUAI,52258,22.70470000S,01/07/2018 04:12:00,33797,"-43,7562",7,72018,52258
-43.7522,-22.902100001677,52259,,clampToGround,0.175,2018,043.75220000W,"&lt;Nulo&gt;",0,Mata Atlantica,1.3,01/07/2018,NPP-375,"-22,9021",1,0,Brasil,RIO DE JANEIRO,RIO DE JANEIRO,52259,22.90210000S,01/07/2018 04:12:00,33798,"-43,7522",7,72018,52259
-43.7576,-22.7862000016743,52260,,clampToGround,0.175,2018,043.75760000W,"&lt;Nulo&gt;",0,Mata Atlantica,1.3,01/07/2018,NPP-375,"-22,7862",1,0,Brasil,RIO DE JANEIRO,SEROPEDICA,52260,22.78620000S,01/07/2018 04:12:00,33799,"-43,7576",7,72018,52260
-44.4275,-22.4601000016668,52268,,clampToGround,0.695833333,2018,044.42750000W,"&lt;Nulo&gt;",0,Mata Atlantica,4,01/07/2018,NPP-375,"-22,4601",1,15,Brasil,RIO DE JANEIRO,RESENDE,52268,22.46010000S,01/07/2018 16:42:00,33807,"-44,4275",7,72018,52268
-43.7238,-22.7240000016729,52269,,clampToGround,0.695833333,2018,043.72380000W,"&lt;Nulo&gt;",0,Mata Atlantica,10.2,01/07/2018,NPP-375,"-22,724",1,7,Brasil,RIO DE JANEIRO,SEROPEDICA,52269,22.72400000S,01/07/2018 16:42:00,33808,"-43,7238",7,72018,52269
-43.7281,-22.7247000016729,52270,,clampToGround,0.695833333,2018,043.72810000W,"&lt;Nulo&gt;",0,Mata Atlantica,4.3,01/07/2018,NPP-375,"-22,7247",1,6,Brasil,RIO DE JANEIRO,SEROPEDICA,52270,22.72470000S,01/07/2018 16:42:00,33809,"-43,7281",7,72018,52270
-42.7582,-22.4371000016662,52271,,clampToGround,0.695833333,2018,042.75820000W,"&lt;Nulo&gt;",0,Mata Atlantica,2.4,01/07/2018,NPP-375,"-22,4371","0,9",20,Brasil,RIO DE JANEIRO,CACHOEIRAS DE MACACU,52271,22.43710000S,01/07/2018 16:42:00,33810,"-42,7582",7,72018,52271
