X,Y,Name,description,altitudeMode,hora,ano,DDLon,Frp.1,precipitacao,bioma,frp,datahora,satelite,latitude,riscofogo,diasemchuva,pais,estado,municipio,Field_1,DDLat,data/hora,OID,longitude,mês,Mês/Ano,Índice
-41.4404,-21.7776000016507,55775,,clampToGround,0.145833333,2019,041.44040000W,"&lt;Nulo&gt;","11,6",Mata Atlantica,1.7,11/03/2019,NPP-375,"-21,7776",0,5,Brasil,RIO DE JANEIRO,CAMPOS DOS GOYTACAZES,55775,21.77760000S,11/03/2019 03:30:00,37314,"-41,4404",3,32019,55775
-41.441,-21.7818000016507,55776,,clampToGround,0.145833333,2019,041.44100000W,"&lt;Nulo&gt;","11,9",Mata Atlantica,1.7,11/03/2019,NPP-375,"-21,7818",0,5,Brasil,RIO DE JANEIRO,CAMPOS DOS GOYTACAZES,55776,21.78180000S,11/03/2019 03:30:00,37315,"-41,441",3,32019,55776
-41.444,-21.7820000016508,55777,,clampToGround,0.145833333,2019,041.44400000W,"&lt;Nulo&gt;","11,6",Mata Atlantica,1,11/03/2019,NPP-375,"-21,782",0,5,Brasil,RIO DE JANEIRO,CAMPOS DOS GOYTACAZES,55777,21.78200000S,11/03/2019 03:30:00,37316,"-41,444",3,32019,55777
-42.8037,-22.5766000016695,55786,,clampToGround,0.708333333,2019,042.80370000W,"&lt;Nulo&gt;","14,9",Mata Atlantica,4.7,13/03/2019,NPP-375,"-22,5766",0,0,Brasil,RIO DE JANEIRO,CACHOEIRAS DE MACACU,55786,22.57660000S,13/03/2019 17:00:00,37325,"-42,8037",3,32019,55786
-42.2507,-22.4528000016666,55787,,clampToGround,0.708333333,2019,042.25070000W,"&lt;Nulo&gt;","16,5",Mata Atlantica,3.1,13/03/2019,NPP-375,"-22,4528",0,0,Brasil,RIO DE JANEIRO,CASIMIRO DE ABREU,55787,22.45280000S,13/03/2019 17:00:00,37326,"-42,2507",3,32019,55787
-42.7781,-22.4776000016672,55788,,clampToGround,0.708333333,2019,042.77810000W,"&lt;Nulo&gt;",12,Mata Atlantica,4.7,13/03/2019,NPP-375,"-22,4776",0,0,Brasil,RIO DE JANEIRO,CACHOEIRAS DE MACACU,55788,22.47760000S,13/03/2019 17:00:00,37327,"-42,7781",3,32019,55788
-41.6312,-21.498900001644,55792,,clampToGround,0.683333333,2019,041.63120000W,"&lt;Nulo&gt;","9,8",Mata Atlantica,2.6,15/03/2019,NPP-375,"-21,4989","0,4",2,Brasil,RIO DE JANEIRO,CARDOSO MOREIRA,55792,21.49890000S,15/03/2019 16:24:00,37331,"-41,6312",3,32019,55792
-41.8427,-21.0649000016335,55793,,clampToGround,0.683333333,2019,041.84270000W,"&lt;Nulo&gt;","11,9",Mata Atlantica,3.1,15/03/2019,NPP-375,"-21,0649",0,2,Brasil,RIO DE JANEIRO,BOM JESUS DO ITABAPOANA,55793,21.06490000S,15/03/2019 16:24:00,37332,"-41,8427",3,32019,55793
-41.6318,-21.4956000016439,55794,,clampToGround,0.683333333,2019,041.63180000W,"&lt;Nulo&gt;","10,2",Mata Atlantica,26.4,15/03/2019,NPP-375,"-21,4956","0,4",2,Brasil,RIO DE JANEIRO,CARDOSO MOREIRA,55794,21.49560000S,15/03/2019 16:24:00,37333,"-41,6318",3,32019,55794
-42.0869,-21.6368000016473,55795,,clampToGround,0.658333333,2019,042.08690000W,"&lt;Nulo&gt;","0,4",Mata Atlantica,4.4,17/03/2019,NPP-375,"-21,6368","0,8",0,Brasil,RIO DE JANEIRO,APERIBE,55795,21.63680000S,17/03/2019 15:48:00,37334,"-42,0869",3,32019,55795
