,data,altitude,campanha,chuva_gdas,evt_id,evt_soma_chuva,evt_media_chuva,evt_max_chuva,direcao,velocidade,direcao_cat,velocidade_cat,evt_soma_chuva_cat
693,2018-07-10 19:00:00,509.0,SB180801 - PP1,0.0,216,19.6,1.5077,6.0,230.9690228659288,27.314427048722585,SW,25-30 km/h,5-20 mm
694,2018-07-10 19:00:00,659.0,SB180801 - PP1,0.0,216,19.6,1.5077,6.0,232.3285200377459,27.97753793670888,SW,25-30 km/h,5-20 mm
695,2018-07-10 19:00:00,909.0,SB180801 - PP1,0.0,216,19.6,1.5077,6.0,237.87928727876897,27.12031270099953,WSW,25-30 km/h,5-20 mm
696,2018-07-10 22:00:00,509.0,SB180801 - PP1,0.5,216,19.6,1.5077,6.0,232.58555601267787,30.345170505369843,SW,30-35 km/h,5-20 mm
697,2018-07-10 22:00:00,659.0,SB180801 - PP1,0.5,216,19.6,1.5077,6.0,234.06929329989177,31.41922102789937,SW,30-35 km/h,5-20 mm
698,2018-07-10 22:00:00,909.0,SB180801 - PP1,0.5,216,19.6,1.5077,6.0,239.7967622450576,31.93996618658198,WSW,30-35 km/h,5-20 mm
699,2018-07-11 02:00:00,509.0,SB180801 - PP1,0.5,216,19.6,1.5077,6.0,236.96847565158373,32.31147922952441,WSW,30-35 km/h,5-20 mm
700,2018-07-11 02:00:00,659.0,SB180801 - PP1,0.5,216,19.6,1.5077,6.0,236.96901672398175,34.768412460162295,WSW,30-35 km/h,5-20 mm
701,2018-07-11 02:00:00,909.0,SB180801 - PP1,0.5,216,19.6,1.5077,6.0,240.47036822818845,37.40715537166604,WSW,35-40 km/h,5-20 mm
702,2018-07-11 01:00:00,509.0,SB180801 - PP1,0.6,216,19.6,1.5077,6.0,235.62729165882493,33.568678153898084,SW,30-35 km/h,5-20 mm
703,2018-07-11 01:00:00,659.0,SB180801 - PP1,0.6,216,19.6,1.5077,6.0,235.9467311297448,36.05235420884468,SW,35-40 km/h,5-20 mm
704,2018-07-11 01:00:00,909.0,SB180801 - PP1,0.6,216,19.6,1.5077,6.0,239.45675540005436,38.50932946702624,WSW,35-40 km/h,5-20 mm
705,2018-07-11 04:00:00,509.0,SB180801 - PP1,0.2,216,19.6,1.5077,6.0,239.03624346792623,30.629990303621888,WSW,30-35 km/h,5-20 mm
706,2018-07-11 04:00:00,659.0,SB180801 - PP1,0.2,216,19.6,1.5077,6.0,238.73083175762517,33.138799404927106,WSW,30-35 km/h,5-20 mm
707,2018-07-11 04:00:00,909.0,SB180801 - PP1,0.2,216,19.6,1.5077,6.0,241.8214098900409,35.98947347489257,WSW,35-40 km/h,5-20 mm
708,2018-07-11 07:00:00,509.0,SB180801 - PP1,0.0,216,19.6,1.5077,6.0,240.3762512488258,30.214308696377184,WSW,30-35 km/h,5-20 mm
709,2018-07-11 07:00:00,659.0,SB180801 - PP1,0.0,216,19.6,1.5077,6.0,239.4347630624085,33.01547674954852,WSW,30-35 km/h,5-20 mm
710,2018-07-11 07:00:00,909.0,SB180801 - PP1,0.0,216,19.6,1.5077,6.0,240.5545712700739,36.66640867333438,WSW,35-40 km/h,5-20 mm
711,2018-07-24 22:00:00,509.0,SB180801 - PP1,0.0,220,32.8,5.4667,27.0,93.74298829568792,11.044558931890338,E,10-15 km/h,20-35 mm
712,2018-07-24 22:00:00,659.0,SB180801 - PP1,0.0,220,32.8,5.4667,27.0,93.77819770716232,10.941780705168783,E,10-15 km/h,20-35 mm
713,2018-07-24 22:00:00,909.0,SB180801 - PP1,0.0,220,32.8,5.4667,27.0,93.17983011986423,11.14115344118415,E,10-15 km/h,20-35 mm
714,2018-07-25 02:00:00,509.0,SB180801 - PP1,0.0,220,32.8,5.4667,27.0,73.99897714615375,14.572589097343316,ENE,10-15 km/h,20-35 mm
715,2018-07-25 02:00:00,659.0,SB180801 - PP1,0.0,220,32.8,5.4667,27.0,74.53878225955809,15.06830508053302,ENE,15-20 km/h,20-35 mm
716,2018-07-25 02:00:00,909.0,SB180801 - PP1,0.0,220,32.8,5.4667,27.0,76.23190954851763,16.013104945637807,ENE,15-20 km/h,20-35 mm
717,2018-07-25 01:00:00,509.0,SB180801 - PP1,0.0,220,32.8,5.4667,27.0,80.53767779197494,12.530490812414788,E,10-15 km/h,20-35 mm
718,2018-07-25 01:00:00,659.0,SB180801 - PP1,0.0,220,32.8,5.4667,27.0,80.98067756861884,13.14047502946574,E,10-15 km/h,20-35 mm
719,2018-07-25 01:00:00,909.0,SB180801 - PP1,0.0,220,32.8,5.4667,27.0,82.62146415732606,14.436544080908313,E,10-15 km/h,20-35 mm
720,2018-07-25 04:00:00,509.0,SB180801 - PP1,0.0,220,32.8,5.4667,27.0,66.07272661995097,17.015275783836447,ENE,15-20 km/h,20-35 mm
721,2018-07-25 04:00:00,659.0,SB180801 - PP1,0.0,220,32.8,5.4667,27.0,67.02059655601579,17.67673264492068,ENE,15-20 km/h,20-35 mm
722,2018-07-25 04:00:00,909.0,SB180801 - PP1,0.0,220,32.8,5.4667,27.0,68.79978334435886,18.228672167769023,ENE,15-20 km/h,20-35 mm
723,2018-07-31 19:00:00,509.0,SB180801 - PP1,0.0,222,10.2,1.7,4.2,261.8698976458435,24.034559492530214,W,20-25 km/h,5-20 mm
724,2018-07-31 19:00:00,659.0,SB180801 - PP1,0.0,222,10.2,1.7,4.2,267.351194240541,28.97395675429908,W,25-30 km/h,5-20 mm
725,2018-07-31 19:00:00,909.0,SB180801 - PP1,0.0,222,10.2,1.7,4.2,272.5518836136698,37.01370601547431,W,35-40 km/h,5-20 mm
726,2018-07-31 22:00:00,509.0,SB180801 - PP1,0.0,222,10.2,1.7,4.2,225.48692124781255,25.710623893635727,SW,25-30 km/h,5-20 mm
727,2018-07-31 22:00:00,659.0,SB180801 - PP1,0.0,222,10.2,1.7,4.2,234.92261666508787,28.318257379294668,SW,25-30 km/h,5-20 mm
728,2018-07-31 22:00:00,909.0,SB180801 - PP1,0.0,222,10.2,1.7,4.2,247.80971110387733,33.81664276654269,WSW,30-35 km/h,5-20 mm
729,2018-08-01 19:00:00,509.0,SB180901 - PP1,0.0,225,6.4,1.0667,2.2,187.76516601842573,6.860913423152823,S,5-10 km/h,5-20 mm
730,2018-08-01 19:00:00,659.0,SB180901 - PP1,0.0,225,6.4,1.0667,2.2,187.9893267663927,5.9285425696369565,S,5-10 km/h,5-20 mm
731,2018-08-01 19:00:00,909.0,SB180901 - PP1,0.0,225,6.4,1.0667,2.2,190.304846468766,3.4547250252373063,S,0-5 km/h,5-20 mm
732,2018-08-01 22:00:00,509.0,SB180901 - PP1,0.0,225,6.4,1.0667,2.2,136.12330271407276,7.430291784311306,SE,5-10 km/h,5-20 mm
733,2018-08-01 22:00:00,659.0,SB180901 - PP1,0.0,225,6.4,1.0667,2.2,135.5787255656085,7.210735676753117,SE,5-10 km/h,5-20 mm
734,2018-08-01 22:00:00,909.0,SB180901 - PP1,0.0,225,6.4,1.0667,2.2,129.95754893082875,4.971817575092478,SE,0-5 km/h,5-20 mm
735,2018-08-02 02:00:00,509.0,SB180901 - PP1,0.0,225,6.4,1.0667,2.2,93.99804209920389,19.20473600443391,E,15-20 km/h,5-20 mm
736,2018-08-02 02:00:00,659.0,SB180901 - PP1,0.0,225,6.4,1.0667,2.2,91.79927572413412,19.682704412758177,E,15-20 km/h,5-20 mm
