,data,altitude,campanha,chuva_gdas,evt_id,evt_soma_chuva,evt_media_chuva,evt_max_chuva,direcao,velocidade,direcao_cat,velocidade_cat,evt_soma_chuva_cat
11,2018-08-01 19:00:00,2391,PS180901 - PP1,0.0,225,6.4,1.0667,2.2,285.4992754,25.43912341,WNW,20-30 km/h,5-20 mm
12,2018-08-01 22:00:00,2391,PS180901 - PP1,0.0,225,6.4,1.0667,2.2,279.7333824,28.63418525,W,20-30 km/h,5-20 mm
13,2018-08-02 02:00:00,2391,PS180901 - PP1,0.0,225,6.4,1.0667,2.2,274.304469,28.81828826,W,20-30 km/h,5-20 mm
14,2018-08-02 01:00:00,2391,PS180901 - PP1,0.0,225,6.4,1.0667,2.2,272.6025622,27.22007641,W,20-30 km/h,5-20 mm
15,2018-08-02 04:00:00,2391,PS180901 - PP1,0.1,226,8.0,1.3333,4.0,276.1218854,32.83826739,W,30-40 km/h,5-20 mm
16,2018-08-02 07:00:00,2391,PS180901 - PP1,0.0,226,8.0,1.3333,4.0,270.2960996,39.8615323,W,30-40 km/h,5-20 mm
17,2018-08-03 19:00:00,2391,PS180901 - PP1,0.0,230,30.8,1.925,6.2,333.2726383,16.26030436,NNW,10-20 km/h,20-35 mm
18,2018-08-03 22:00:00,2391,PS180901 - PP1,0.0,230,30.8,1.925,6.2,338.962489,20.0847359,NNW,20-30 km/h,20-35 mm
19,2018-08-04 02:00:00,2391,PS180901 - PP1,0.0,230,30.8,1.925,6.2,292.2905825,35.84459195,WNW,30-40 km/h,20-35 mm
20,2018-08-04 01:00:00,2391,PS180901 - PP1,0.0,230,30.8,1.925,6.2,304.5483671,30.51304377,NW,30-40 km/h,20-35 mm
21,2018-08-04 04:00:00,2391,PS180901 - PP1,0.0,230,30.8,1.925,6.2,280.3867142,45.1325738,W,40-50 km/h,20-35 mm
22,2018-08-04 07:00:00,2391,PS180901 - PP1,0.0,230,30.8,1.925,6.2,272.434185,50.92795394,W,50-60 km/h,20-35 mm
23,2018-08-04 10:00:00,2391,PS180901 - PP1,0.0,230,30.8,1.925,6.2,271.4878675,47.60204924,W,40-50 km/h,20-35 mm
24,2018-08-06 22:00:00,2391,PS180901 - PP1,0.7,234,18.2,2.6,7.0,302.9659215,38.42576482,WNW,30-40 km/h,5-20 mm
25,2018-08-07 02:00:00,2391,PS180901 - PP1,0.6,234,18.2,2.6,7.0,291.3457866,38.48397589,WNW,30-40 km/h,5-20 mm
26,2018-08-07 01:00:00,2391,PS180901 - PP1,0.6,234,18.2,2.6,7.0,291.4477363,37.18285734,WNW,30-40 km/h,5-20 mm
27,2018-08-07 04:00:00,2391,PS180901 - PP1,0.6,234,18.2,2.6,7.0,291.1485688,41.9665281,WNW,40-50 km/h,5-20 mm
28,2018-08-17 19:00:00,2391,PS180901 - PP1,0.0,242,27.8,3.9714,7.8,230.8394923,12.88529588,SW,10-20 km/h,20-35 mm
29,2018-08-17 22:00:00,2391,PS180901 - PP1,0.0,242,27.8,3.9714,7.8,204.9439053,9.769266298,SSW,0-10 km/h,20-35 mm
30,2018-08-18 02:00:00,2391,PS180901 - PP1,0.0,242,27.8,3.9714,7.8,164.3204759,6.097913168,SSE,0-10 km/h,20-35 mm
31,2018-08-18 01:00:00,2391,PS180901 - PP1,0.0,242,27.8,3.9714,7.8,181.762391,6.698168481,S,0-10 km/h,20-35 mm
32,2018-08-26 13:00:00,2391,PS180901 - PP1,0.0,245,17.2,1.4333,2.8,295.3993096,15.84895243,WNW,10-20 km/h,5-20 mm
33,2018-08-26 19:00:00,2391,PS180901 - PP1,0.0,245,17.2,1.4333,2.8,300.9637565,24.62410985,WNW,20-30 km/h,5-20 mm
34,2018-08-26 22:00:00,2391,PS180901 - PP1,0.0,245,17.2,1.4333,2.8,293.9868702,24.57645615,WNW,20-30 km/h,5-20 mm
35,2018-08-27 02:00:00,2391,PS180901 - PP1,0.0,245,17.2,1.4333,2.8,289.4255552,22.60797209,WNW,20-30 km/h,5-20 mm
36,2018-08-27 01:00:00,2391,PS180901 - PP1,0.0,245,17.2,1.4333,2.8,288.9850972,23.74568889,WNW,20-30 km/h,5-20 mm
37,2018-09-04 02:00:00,2391,PS181001 - PP1,0.0,250,5.0,2.5,2.8,322.1934701,45.36726172,NW,40-50 km/h,5-20 mm
38,2018-09-04 04:00:00,2391,PS181001 - PP1,0.1,250,5.0,2.5,2.8,316.8933858,52.90491503,NW,50-60 km/h,5-20 mm
39,2018-09-14 22:00:00,2391,PS181001 - PP1,0.2,261,32.6,2.7167,8.6,323.1301024,42.745,NW,40-50 km/h,20-35 mm
40,2018-09-15 02:00:00,2391,PS181001 - PP1,0.0,261,32.6,2.7167,8.6,318.9206825,46.86782958,NW,40-50 km/h,20-35 mm
41,2018-09-15 01:00:00,2391,PS181001 - PP1,0.0,261,32.6,2.7167,8.6,327.1071,47.22592121,NNW,40-50 km/h,20-35 mm
42,2018-09-15 04:00:00,2391,PS181001 - PP1,3.9,261,32.6,2.7167,8.6,300.1116867,49.88965314,WNW,40-50 km/h,20-35 mm
43,2018-09-15 07:00:00,2391,PS181001 - PP1,2.8,261,32.6,2.7167,8.6,278.2448659,58.17831708,W,50-60 km/h,20-35 mm
44,2018-09-15 10:00:00,2391,PS181001 - PP1,0.0,261,32.6,2.7167,8.6,274.2442258,55.66966579,W,50-60 km/h,20-35 mm
