Ponto;Tipo;Amostras;Data da coleta;Dias de chuva;pH;Condutividade;Altura de chuva;Vaz緌;Temperatura;Na (CI);NH4 (CI);K (CI);Mg (CI);Ca (CI);F;CH3COO;CHOO;Cl;NO2 (CI);Br;NO3 (CI);SO4;CH2(COO)2;C2O4 ;PO4 (CI);NH4 (ESP);NO2 (ESP) ;NO3 (ESP);NOD;NTD;NP;NT;PO4 (ESP);POD;PTD;PP;PT;COD;CID;CD;HCO3 (M) ;HCO3 (A);Si;Na (ICP);Ca (ICP);Mg (ICP);K (ICP);Fe;Al;Mn;Ba;Cu;Ga;Li;Mo;Ni;Rb;Sr;V;Zn;La;Ce;Pr;Sm;Eu;Gd;Nd;Pb
;;;;;;uS cm-1;dm;m3 s-1;  ?C        ;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;ppb;ppb
Santa Marta;Fluvial;SM180803;03/08/2018;;7.1;11.9;;0.4;14.3;33.21;0.70;8.87;8.80;12.49;0.41;2.60;0.76;30.89;0.08;0.03;19.54;6.77;0.01;0.75;0.64;0.03;0.12;16.13;;;;;0.47;1.22;1.69;;;101.75;51.18;152.92;64;21;68.72;26.53;16.47;17.36;8.03;1.52;1.70;0.025;0.05;0.0031;0.0034;0.02;0.000;0.002;0.008;0.082;0.002;0.012;0.000;0.001;0.00009;0.00027;0.00003;0.00006;0.05;0.01
Santa Marta;Fluvial;SM180831 ;31/08/2018;;6.3;8.9;;0.3;13.7;24.23;0.30;5.70;6.70;12.90;0.34;2.22;2.01;13.22;0.08;0.03;7.90;6.52;0.01;0.87;0.03;0.03;0.06;6.25;8.67;16.95;;;0.44;0.83;1.27;;;234.81;36.55;271.36;;16;69.37;22.59;13.38;14.18;4.51;0.51;2.73;0.066;0.00;0.0066;0.0076;0.00;0.000;0.002;0.013;0.006;0.002;;0.000;0.000;0.00000;0.00001;0.00001;0.00002;0.02;0.19
Santa Marta;Fluvial;SM181001;01/10/2018;;7.4;11.0;;0.1;18.1;33.35;0.70;7.69;6.70;13.38;0.35;2.84;0.99;20.92;0.14;0.03;8.34;1.44;0.01;0.63;0.15;0.03;0.07;6.88;;;;;0.58;1.65;2.23;;;254.50;27.60;282.08;;42;83.30;26.15;17.08;17.72;6.25;0.69;2.05;0.020;0.03;0.0046;0.0053;0.01;0.000;0.015;0.009;0.069;0.002;0.023;0.000;0.001;0.00007;0.00007;0.00000;0.00013;0.06;0.06
Santa Marta;Fluvial;SM181101;01/11/2018;;6.1;9.0;;0.4;17.5;21.03;1.00;6.21;7.10;8.07;0.34;1.91;2.85;11.94;0.25;0.03;6.86;4.92;0.01;0.61;0.35;0.03;0.08;3.60;;;;;0.32;1.57;1.90;;;253.75;7.85;261.58;;36;67.71;21.63;12.06;12.22;3.98;0.41;2.24;0.013;0.02;0.0025;0.0050;0.01;0.000;0.003;0.006;0.052;0.001;0.002;0.000;0.001;0.00007;0.00005;0.00001;0.00006;0.06;0.05
Santa Marta;Fluvial;SM181203;03/12/2018;;5.7;8.9;;12.3;16.5;20.74;1.20;5.29;6.90;12.26;0.25;2.22;2.28;12.44;0.23;0.03;7.03;2.90;0.01;1.00;0.83;0.03;0.11;5.61;;;;;0.50;1.40;1.90;;;208.38;3.30;211.67;;1;40.99;17.98;12.27;10.79;4.57;0.63;6.19;0.033;0.03;0.0055;0.0034;0.01;0.000;0.005;0.007;0.052;0.002;0.064;0.001;0.001;0.00014;0.00020;0.00000;0.00019;0.14;0.06
Santa Marta;Fluvial;SM190108 ;08/01/2019;;6.4;8.3;;0.5;13.8;19.04;1.50;8.24;4.90;5.16;0.41;1.65;2.04;14.64;0.29;0.08;5.80;6.37;0.01;0.39;0.69;1.37;0.03;8.51;;;;;0.25;3.22;3.47;;;432.67;1.26;433.92;;29;69.82;18.84;9.35;10.29;2.66;0.24;1.05;0.009;0.02;0.0013;0.0037;0.01;0.000;0.006;0.004;0.041;0.001;0.002;0.000;0.000;0.00007;0.00001;0.00000;0.00006;0.03;0.01
Santa Marta;Fluvial;SM190211;07/02/2019;;6.1;10.5;;0.4;18.0;27.06;0.10;10.87;6.50;10.86;0.40;2.09;0.82;26.53;0.39;0.08;9.00;6.25;0.01;0.69;0.03;0.03;0.14;7.58;;;;;0.40;;;;;107.17;41.23;148.42;81;38;69.70;23.24;13.57;14.24;8.14;0.45;2.01;0.017;0.04;0.0047;0.0115;0.01;0.000;0.003;0.012;0.060;0.002;0.002;0.000;0.001;0.00007;0.00011;0.00002;0.00006;0.07;0.10
Santa Marta;Fluvial;SM190311;11/03/2019;;7.4;10.9;;0.3;20.5;11.48;0.10;3.45;4.70;8.23;0.33;1.39;0.88;10.89;0.15;0.09;7.26;0.57;0.01;0.03;0.11;0.03;0.09;13.16;;;;;0.58;;;;;222.33;13.84;236.17;;24;41.87;13.21;9.96;9.93;3.69;0.46;1.47;0.003;0.02;0.0012;0.0018;0.01;0.000;0.000;0.004;0.035;0.001;0.076;0.000;0.001;0.00009;0.00006;0.00002;0.00007;0.04;0.01
Santa Marta;Fluvial;SM190409;09/04/2019;;5.3;8.6;;0.3;16.5;15.44;0.10;2.80;4.60;5.39;0.40;2.10;0.13;6.08;0.25;0.32;4.42;0.60;0.01;0.03;0.14;3.91;0.06;6.07;;;;;0.55;;;;;165.69;10.40;176.09;;29;66.65;18.31;10.17;10.25;2.79;0.22;1.01;0.000;0.02;0.0004;0.0016;0.01;0.000;0.000;0.003;0.038;0.001;0.002;0.000;0.000;0.00007;0.00007;0.00002;0.00002;0.04;0.01
Santa Marta;Fluvial;SM190514;14/05/2019;;5.1;9.0;;0.2;17.9;21.88;0.10;3.99;7.10;7.34;0.41;1.14;1.94;10.76;0.52;0.12;3.32;5.30;0.85;0.14;0.12;;0.08;;;;;;0.58;;;;;64.40;10.35;74.75;;29;60.00;16.66;10.05;10.02;2.74;0.25;1.03;0.000;0.02;0.0009;0.0017;0.01;0.000;0.000;0.003;0.038;0.001;0.002;0.000;0.001;0.00008;0.00010;0.00002;0.00004;0.04;0.01
Santa Marta;Fluvial;SM190617;17/06/2019;;6.2;9.1;;0.2;14.8;20.75;0.10;3.29;7.40;6.76;0.31;1.71;3.09;7.88;0.23;0.17;8.26;14.26;0.01;0.03;0.12;;0.04;;;;;;0.58;;;;;98.38;14.56;112.93;;34;83.21;21.88;12.12;13.00;3.51;0.35;1.16;0.000;0.03;0.0004;0.0021;0.01;0.000;0.000;0.003;0.046;0.001;0.002;0.000;0.000;0.00007;0.00009;0.00001;0.00002;0.03;0.01
Santa Marta;Fluvial;SM190709;09/07/2019;;6.5;7.2;;0.2;12.2;26.61;0.10;5.12;6.70;9.18;0.35;2.09;1.03;11.23;0.16;0.12;10.43;14.48;0.01;0.03;0.13;;0.05;;;;;;0.82;;;;;62.14;26.12;88.25;123;92;91.81;24.94;13.62;13.98;4.29;0.47;0.85;0.002;0.03;0.0021;0.0018;0.01;0.000;0.000;0.004;0.050;0.001;0.002;0.000;0.001;0.00007;0.00008;0.00002;0.00006;0.04;0.01
Santa Marta;Fluvial;SM190808;08/08/2019;;6.3;12.3;;0.1;14.5;35.14;0.90;13.89;10.90;16.27;0.35;1.70;1.84;33.58;0.34;0.14;10.96;8.56;0.25;0.43;0.11;;0.12;;;;;;0.62;;;;;186.72;9.97;196.69;117;107;32.74;29.06;18.34;19.07;7.36;0.61;2.13;0.001;0.04;0.0014;0.0033;0.01;0.000;0.000;0.007;0.070;0.001;0.002;0.000;0.001;0.00016;0.00017;0.00003;0.00010;0.07;0.01
Santa Marta;Fluvial;SM190906;06/09/2019;;6.2;12.5;;0.3;15.5;12.63;3.90;5.03;5.00;5.94;1.77;2.82;3.01;11.85;0.32;0.03;7.94;1.44;0.01;0.87;0.18;;;;;;;;;;;;;;;;;;;;;;;0.49;1.84;0.01;;;;;;;;;;;;;;;;;;
Santa Marta;Fluvial;SM191008;08/10/2019;;6.4;11.0;;0.1;14.2;69.77;3.10;22.54;6.30;11.08;0.58;3.60;0.13;40.30;0.35;0.03;12.87;17.19;0.01;2.45;0.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Santa Marta;Fluvial;SM191112;12/11/2019;;6.5;10.0;;0.7;20.1;22.05;1.90;8.89;6.60;9.96;1.88;3.39;0.96;17.54;0.29;0.07;7.96;7.83;0.01;1.03;0.36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Santa Marta;Fluvial;SM191214;14/12/2019;;6.5;8.0;;0.9;21.0;14.23;2.90;8.54;2.00;4.34;4.96;3.56;2.37;14.72;0.32;0.03;3.32;10.90;0.01;0.03;0.47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Santa Marta;Fluvial;SM200121 ;21/01/2020;;6.0;6.4;;1.7;16.8;20.28;0.14;3.87;7.94;9.05;0.32;3.47;1.00;9.41;0.12;0.03;6.55;0.87;0.01;0.60;0.13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Santa Marta;Fluvial;SM200121 (PONTE);21/01/2020;;;;;;;20.46;4.96;3.84;7.67;8.48;0.28;1.15;0.79;36.30;0.07;0.03;22.92;1.31;0.01;0.39;0.24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Santa Marta;Fluvial;SM200122 (18:00);22/01/2020;;;;;;;20.81;8.28;4.40;7.79;10.66;0.31;3.99;0.99;42.83;0.07;0.03;21.95;1.33;0.01;1.77;0.45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Santa Marta;Fluvial;SM200122 (20:00);22/01/2020;;;;;;;20.47;0.74;4.94;7.18;7.45;0.27;2.04;0.85;10.48;0.07;0.03;19.33;1.09;0.01;0.28;0.28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Santa Marta;Fluvial;SM200122 (22:00);22/01/2020;;;;;;;20.60;3.12;7.28;8.14;9.34;0.32;2.59;0.86;36.67;0.07;0.03;21.02;1.40;0.01;0.88;0.30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Santa Marta;Fluvial;SM200123 (5:30);23/01/2020;;;;;;;20.48;0.14;4.80;6.40;9.86;0.24;2.41;1.18;34.49;0.07;0.03;18.85;1.30;0.01;0.27;0.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Santa Marta;Fluvial;SM200124 (15:30);24/01/2020;;;;;;;17.46;0.14;7.15;8.51;10.86;0.23;2.25;1.12;9.42;0.07;0.03;5.92;1.13;0.01;0.32;0.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Santa Marta;Fluvial;SM200124 (9:00);24/01/2020;;;;;;;19.23;0.96;5.52;7.69;17.82;1.92;6.16;0.13;34.86;0.24;0.03;19.08;2.04;0.01;1.99;0.21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Santa Marta;Fluvial;SM200125 (16:30);25/01/2020;;;;;;;20.54;0.14;4.68;6.03;7.29;0.21;3.39;0.94;33.97;0.23;0.03;19.18;1.11;0.01;0.03;0.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bonfim;Pluvial_PP1;BM180526-PP1 ;26/05/2018;21;5.7;5.9;0.7;;;4.23;19.34;5.67;1.19;3.85;0.38;1.70;0.80;4.39;0.39;0.03;10.78;4.01;0.01;0.36;0.53;30.34;0.38;6.64;10.33;40.85;;;1.87;0.90;2.77;;;;;;;;0.8;2.5;4.3;1.3;4.0;0.02;0.10;0.0118;0.0060;0.0039;0.0004;0.0014;0.0001;0.0004;0.0043;0.0088;0.0016;0.0477;;;;;;;;
Bonfim;Pluvial_PP1;BM180629-PP1;29/06/2018;34;;;0.0;;;;;;;;;;;;;;;;;;;;;;;251.21;;;;;20.06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bonfim;Pluvial_PP1;BM180731-PP1;31/07/2018;32;;;0.2;;;;;;;;;;;;;;;;;;;8.92;0.88;15.07;66.79;66.79;;;0.37;1.32;1.69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bonfim;Pluvial_PP1;BM180831-PP1 ;31/08/2018;31;6.3;19.2;0.7;;;2.51;39.93;8.54;1.31;3.35;0.34;1.25;1.65;4.50;0.37;0.03;15.45;7.12;0.01;0.39;1.70;30.72;0.45;12.13;;43.22;;;2.17;1.37;3.54;;;;;;;;0.8;1.9;3.3;1.0;3.0;0.02;0.08;0.0335;0.0058;0.0035;0.0003;0.0027;0.0001;0.0002;0.0028;0.0088;0.0012;0.0270;0.0002;0.0003;;;;;;
Bonfim;Pluvial_PP1;BM180929-PP1;29/09/2018;29;6.2;5.5;1.0;;;4.29;13.87;7.53;2.21;9.07;0.22;2.94;0.83;5.09;0.27;0.03;16.93;15.91;0.01;1.85;0.11;7.63;0.33;16.11;;27.36;;;0.17;2.81;2.97;;;;;;;;1.9;3.5;9.3;2.6;18.4;0.02;0.08;0.0439;0.0092;0.0033;0.0016;0.0029;0.0002;0.0010;0.0110;0.0175;0.0006;0.0829;0.0003;0.0004;;;;;;
Bonfim;Pluvial_PP1;BM181103-PP1 ;03/11/2018;35;6.5;9.4;0.8;;;14.55;32.86;8.90;1.93;4.00;0.38;1.94;0.13;15.13;0.61;0.10;17.68;4.76;0.01;0.35;0.76;53.39;0.68;23.03;42.09;93.24;;;2.76;2.53;5.29;;;;;;;;2.0;16.9;6.9;3.5;8.4;0.02;0.2;0.0007;0.0086;0.0072;0.0014;0.0029;0.0015;0.0012;0.0137;0.0144;0.0014;0.1132;0.0001;0.0002;;;;;;
Bonfim;Pluvial_PP1;BM181204-PP1 ;04/12/2018;31;6.4;5.7;1.9;;;3.55;6.84;2.68;1.05;3.15;0.38;0.53;1.63;4.25;0.25;0.03;9.55;2.78;0.01;0.01;0.01;14.60;0.23;6.53;4.11;20.75;;;0.46;4.28;4.74;;;;;;;;0.8;2.4;2.0;0.7;1.7;0.02;0.08;0.0004;0.0015;0.0024;0.0004;0.0005;0.0002;0.0017;0.0030;0.0042;0.0000;0.0558;0.0001;0.0004;;;;;;
Bonfim;Pluvial_PP1;BM190106-PP1 ;06/01/2019;33;5.4;3.5;1.9;;;1.80;5.28;0.96;0.77;2.95;0.22;1.54;0.98;2.63;0.08;0.03;6.01;3.76;0.01;0.01;0.01;4.45;0.11;4.17;;4.47;;;1.23;0.59;1.81;;;;;;;;0.8;1.2;2.5;0.5;0.7;0.02;0.08;0.0155;0.0046;0.0011;0.0007;0.0005;0.0002;0.0012;0.0013;0.0048;0.0000;0.0021;0.0003;0.0001;;;;;;
Bonfim;Pluvial_PP1;BM190206-PP1 ;06/02/2019;31;5.7;5.2;0.8;;;5.91;4.19;5.00;2.23;12.16;0.35;3.16;3.67;6.59;0.31;0.08;10.85;4.91;0.01;0.29;0.01;5.82;0.11;8.57;7.77;23.12;;;0.29;0.27;0.57;;;;;;;;2.8;4.7;9.2;2.1;3.9;0.02;0.2;0.0580;0.0130;0.0025;0.0008;0.0020;0.0001;0.0002;0.0032;0.0155;0.0006;0.0948;0.0003;0.0004;;;;;;
Bonfim;Pluvial_PP1;BM190313-PP1;13/03/2019;35;4.9;4.7;2.7;;;17.15;2.80;6.41;0.96;3.67;0.29;1.75;0.89;11.34;0.17;0.10;8.74;13.45;0.19;0.03;0.12;7.29;0.58;4.58;1.69;13.39;;;0.25;0.64;0.89;;;;;;;;0.8;3.2;1.8;0.7;1.5;0.02;0.08;0.0126;0.0056;0.0009;0.0004;0.0015;0.0001;0.0002;0.0014;0.0049;0.0000;0.0086;0.0005;0.0006;;;;;;
Bonfim;Pluvial_PP1;BM190413-PP1;13/04/2019;31;5.0;4.7;2.1;;;17.08;8.13;9.20;1.12;5.95;0.20;1.51;0.95;16.29;0.22;0.09;12.23;15.09;0.01;0.01;0.13;11.04;0.85;4.93;;16.69;;;0.23;0.66;0.89;;;;;;;;0.8;3.4;2.4;0.9;0.9;0.02;0.08;0.0096;0.0050;0.0009;0.0001;0.0005;0.0001;0.0002;0.0009;0.0044;0.0000;0.0131;0.0000;0.0000;;;;;;
Bonfim;Pluvial_PP1;BM190518-PP1;18/05/2019;35;5.0;3.0;1.3;;;6.89;0.14;4.92;0.89;2.98;0.06;0.96;0.86;4.96;0.08;0.03;0.06;3.06;0.01;0.01;0.12;4.64;0.82;0.46;5.72;5.99;;;0.18;1.14;1.32;;;;;;;;0.8;4.1;3.2;1.1;3.3;0.02;0.08;0.0065;0.0034;0.0024;0.0001;0.0005;0.0001;0.0002;0.0070;0.0055;0.0003;0.0106;0.0002;0.0004;;;;;;
Bonfim;Pluvial_PP1;BM190616-PP1;16/06/2019;29;5.5;8.5;0.3;;;;;;;;;;;;;;;;;;;4.59;0.38;0.17;5.02;5.02;;;2.37;1.78;4.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bonfim;Pluvial_PP1;BM190707-PP1;07/07/2019;21;6.6;37.6;0.2;;;;;;;;;;;;;;;;;;;109.84;1.03;25.87;246.46;246.46;;;3.21;6.18;9.39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bonfim;Pluvial_PP1;BM190817-PP1;17/08/2019;41;;;0.1;;;;;;;;;;;;;;;;;;;4.77;0.13;;29.44;29.44;;;0.27;1.15;1.41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bonfim;Pluvial_PP1;BM190908-PP1;08/09/2019;22;;;0.6;;;10.68;64.65;7.42;4.34;9.35;0.43;1.71;1.58;11.81;0.59;0.03;28.15;19.48;0.21;0.37;0.13;48.65;0.65;27.67;;86.18;;;0.12;2.25;2.37;;;;;;;;;;;;;;;0.0369;0.0124;0.0058;0.0011;0.0035;0.0002;0.0002;0.0062;0.0257;0.0013;0.0021;0.0002;0.0003;;;;;;
Bonfim;Pluvial_PP1;BM191005-PP1;05/10/2019;27;5.5;7.6;0.5;;;9.56;6.61;9.15;2.73;10.70;0.06;2.98;9.44;11.34;0.15;0.31;10.71;13.77;0.40;0.03;0.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bonfim;Pluvial_PP1;BM191109-PP1;09/11/2019;35;;;0.9;;;6.42;8.89;11.77;3.19;9.35;0.41;3.15;3.69;7.19;0.08;0.03;20.16;6.36;0.01;0.16;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bonfim;Pluvial_PP1;BM191215-PP1;15/12/2019;36;;;;;;3.06;0.53;2.19;1.07;3.91;0.06;3.74;1.07;3.93;0.17;0.03;5.50;2.12;0.01;0.17;0.44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bonfim;Pluvial_PP1;BM200127-PP1;27/01/2020;43;;;;;;2.67;2.08;0.98;0.77;3.54;0.06;1.44;1.10;3.10;0.08;0.03;0.48;2.12;0.01;0.01;0.13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pedra do Sino;Pluvial_PP1;PS180619-PP1 ;19/06/2018;28;;;0.3;;;6.21;16.81;2.16;1.42;4.60;0.94;3.69;0.13;4.96;0.08;0.03;15.65;9.30;0.01;0.97;0.01;16.48;0.09;13.85;3.18;33.61;;;0.12;1.04;1.17;;;;;;;;0.8;4.7;4.2;1.1;1.2;0.19;0.22;0.0573;0.0126;0.0080;0.0007;0.0029;0.0001;0.0020;0.0024;0.0072;0.0018;0.1202;0.0001;0.0001;;;;;;
Pedra do Sino;Pluvial_PP1;PS180801-PP1;01/08/2018;43;5.4;9.4;0.2;;;;;;;;;;;;;;;;;;;24.44;0.09;23.22;;40.33;;;0.14;1.05;1.19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pedra do Sino;Pluvial_PP1;PS180901-PP1;01/09/2018;31;5.6;6.4;1.1;;;2.34;17.03;1.28;1.07;3.76;0.17;3.31;0.97;3.29;0.21;0.03;13.81;14.79;0.01;0.64;0.18;15.78;0.10;9.25;;20.15;;;0.12;1.93;2.06;;;;;;;;0.8;2.0;1.4;0.6;0.8;0.08;0.08;0.0269;0.0042;0.0035;0.0001;0.0023;0.0001;0.0003;0.0013;0.0036;0.0010;0.0376;0.0000;0.0002;;;;;;
Pedra do Sino;Pluvial_PP1;PS181001-PP1 ;01/10/2018;30;5.5;6.6;0.9;;;4.70;20.54;2.14;1.31;3.30;0.30;3.14;0.80;5.36;0.15;0.03;17.75;6.57;0.01;0.46;0.01;21.82;0.10;17.35;;32.90;;;0.17;1.95;2.12;;;;;;;;0.8;4.1;3.3;1.4;1.5;0.02;0.23;0.0652;0.0046;0.0115;0.0450;0.0058;0.0001;0.0009;0.0023;0.0070;0.0002;0.0021;0.0055;0.0001;;;;;;
Pedra do Sino;Pluvial_PP1;PS181102-PP1 ;02/11/2018;32;5.5;4.5;1.9;;;10.62;8.19;0.78;1.27;1.82;0.23;1.37;1.09;11.01;0.21;0.03;10.15;3.71;0.01;0.32;0.01;9.43;0.07;7.32;;15.05;;;1.35;1.08;2.43;;;;;;;;0.8;8.0;0.6;1.0;1.1;0.02;0.08;0.0146;0.0015;0.0008;0.0004;0.0014;0.0001;0.0005;0.0008;0.0027;0.0000;0.0822;0.0001;0.0001;;;;;;
Pedra do Sino;Pluvial_PP1;PS181203-PP1 ;03/12/2018;31;5.7;3.6;1.9;;;4.45;8.07;0.55;0.82;1.18;0.06;1.02;0.84;5.23;0.17;0.03;8.23;3.19;0.01;0.01;0.01;7.39;0.10;4.73;;8.23;;;0.43;0.41;0.84;;;;;;;;0.8;3.7;0.6;0.6;0.4;0.38;0.08;0.0080;0.0015;0.0008;0.0001;0.0005;0.0001;0.0005;0.0005;0.0016;0.0000;0.0021;0.0002;0.0000;;;;;;
Pedra do Sino;Pluvial_PP1;PS190106-PP1 ;06/01/2019;34;5.0;6.0;4.4;;;3.57;6.53;0.67;0.95;2.68;0.17;2.19;0.94;4.48;0.16;0.03;10.36;4.81;0.01;0.25;0.01;10.90;0.00;6.11;;9.23;;;0.40;1.41;1.81;;;;;;;;0.8;2.9;1.4;0.6;0.4;1.07;0.08;0.0160;0.0015;0.0017;0.0001;0.0014;0.0003;0.0012;0.0009;0.0029;0.0000;0.1205;0.0004;0.0000;;;;;;
Pedra do Sino;Pluvial_PP1;PS190210-PP1 ;10/02/2019;35;5.3;6.2;2.2;;;4.43;10.46;1.19;0.84;2.08;0.37;4.05;1.91;3.86;0.08;0.03;13.85;4.67;0.01;0.17;0.01;15.68;0.00;10.66;1.39;25.78;;;0.18;0.26;0.44;;;;;;;;0.8;3.9;2.5;0.9;0.1;1.78;0.08;0.0299;0.0037;0.0030;0.0010;0.0014;0.0001;0.0010;0.0022;0.0047;0.0000;;0.0011;0.0001;;;;;;
Pedra do Sino;Pluvial_PP1;PS190313-PP1;13/03/2019;31;4.9;5.2;3.5;;;12.39;4.68;1.14;1.10;1.11;0.06;1.11;1.16;13.15;0.15;0.03;7.77;41.39;0.01;0.01;0.12;7.86;0.05;4.05;;10.35;;;0.14;0.28;0.42;;;;;;;;2.0;10.4;0.7;1.3;0.1;0.61;0.08;;;;;;;;;;;;;;;;;;;
Pedra do Sino;Pluvial_PP1;PS190413-PP1;13/04/2019;31;4.7;5.7;4.4;;;14.97;3.51;2.84;1.35;2.54;0.21;1.91;0.77;16.20;0.08;0.03;6.32;13.31;0.15;0.03;0.12;5.49;1.04;2.78;;9.78;;;0.11;0.47;0.58;;;;;;;;0.8;9.3;0.8;1.2;0.4;0.54;0.08;0.0001;0.0015;0.0004;0.0001;0.0005;0.0001;0.0002;0.0005;0.0027;0.0000;0.0021;0.0000;0.0000;;;;;;
Pedra do Sino;Pluvial_PP1;PS190518-PP1;18/05/2019;35;4.8;3.4;4.4;;;2.80;2.32;0.79;0.49;2.53;0.06;0.16;0.80;3.59;0.21;0.07;4.18;2.26;0.01;0.01;0.13;2.46;0.70;1.41;;1.70;;;0.19;0.85;1.04;;;;;;;;0.8;1.0;0.4;0.3;0.2;0.46;0.08;0.0005;0.0015;0.0047;0.0001;0.0005;0.0001;0.0002;0.0014;0.0017;0.0000;0.0021;0.0000;0.0001;;;;;;
Pedra do Sino;Pluvial_PP1;PS190614-PP1;14/06/2019;27;5.0;5.4;0.8;;;21.90;5.56;1.66;1.82;2.95;0.16;0.56;0.13;17.66;0.08;0.09;7.73;13.78;0.01;0.01;0.14;6.68;0.24;5.81;1.38;14.74;;;2.89;;2.53;;;;;;;;0.8;18.0;2.2;2.2;0.8;1.66;0.08;0.0170;0.0043;0.0004;0.0001;0.0010;0.0001;0.0002;0.0012;0.0057;0.0005;0.0226;0.0005;0.0008;;;;;;
Pedra do Sino;Pluvial_PP1;PS190709-PP1;09/07/2019;25;5.3;9.3;0.4;;;30.76;8.84;2.08;3.81;5.13;0.19;2.66;1.46;31.38;0.20;0.08;13.02;15.67;0.01;0.01;0.13;13.74;0.58;13.64;7.15;29.21;;;0.66;5.66;6.32;;;;;;;;0.8;31.5;5.3;4.6;1.7;3.89;0.08;0.0410;0.0071;0.0035;0.0004;0.0033;0.0024;0.0033;0.0018;0.0107;0.0008;0.0427;0.0001;0.0002;;;;;;
Pedra do Sino;Pluvial_PP1;PS190806-PP1;06/08/2019;28;;;0.3;;;11.85;12.43;2.81;1.91;4.60;0.37;2.07;0.87;10.43;0.21;0.03;10.76;14.37;0.01;0.01;0.13;17.95;0.22;14.73;8.99;32.39;;;0.33;0.52;0.85;;;;;;;;2.2;12.1;6.0;2.7;2.2;0.02;0.08;0.0404;0.0328;0.0004;0.0024;0.0017;0.0001;0.0002;0.0027;0.0221;0.0004;0.0068;0.0002;0.0003;;;;;;
Pedra do Sino;Pluvial_PP1;PS190910-PP1;10/09/2019;35;;;0.8;;;10.38;22.54;2.02;1.64;5.42;0.23;2.54;0.98;11.11;0.40;0.13;11.69;14.89;0.01;0.01;0.11;22.41;0.29;12.17;;32.47;;;0.23;2.45;2.68;;;;;;;;;;;;;;;0.0401;0.0015;0.0004;0.0001;0.0005;0.0001;0.0002;0.0015;0.0030;0.0004;0.0021;0.0001;0.0001;;;;;;
Pedra do Sino;Pluvial_PP1;PS191004-PP1;04/10/2019;24;;;0.8;;;3.64;1.56;0.76;0.64;1.92;0.06;0.93;0.88;5.35;0.08;0.03;3.99;1.09;0.01;0.01;0.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pedra do Sino;Pluvial_PP1;PS191114-PP1 ;14/11/2019;41;;;3.6;;;4.95;0.14;0.92;1.20;3.30;0.20;1.12;0.13;4.04;0.08;0.03;12.98;4.01;0.01;0.01;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pedra do Sino;Pluvial_PP1;PS191216-PP1;16/12/2019;32;5.3;;4.4;;;5.36;0.94;1.89;1.13;2.47;0.88;3.94;0.77;5.03;0.17;0.03;8.06;11.58;0.01;0.01;0.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pedra do Sino;Pluvial_PP1;PS200126-PP1;26/01/2020;41;;;4.4;;;6.12;5.38;2.06;0.82;3.77;0.85;4.35;1.60;6.15;0.31;0.03;14.17;11.68;0.01;0.53;0.39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
