Ponto;Tipo;Amostras;Data da coleta;Dias de chuva;pH;Condutividade;Altura de chuva;Vaz緌;Temperatura;Na (CI);NH4 (CI);K (CI);Mg (CI);Ca (CI);F;CH3COO;CHOO;Cl;NO2 (CI);Br;NO3 (CI);SO4;CH2(COO)2;C2O4 ;PO4 (CI);NH4 (ESP);NO2 (ESP) ;NO3 (ESP);NOD;NTD;NP;NT;PO4 (ESP);POD;PTD;PP;PT;COD;CID;CD;HCO3 (M) ;HCO3 (A);Si;Na (ICP);Ca (ICP);Mg (ICP);K (ICP);Fe;Al;Mn;Ba;Cu;Ga;Li;Mo;Ni;Rb;Sr;V;Zn;La;Ce;Pr;Sm;Eu;Gd;Nd;Pb
;;;;;;uS cm-1;dm;m3 s-1;  ?C        ;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;ppb;ppb
Bonfim;Fluvial;BM190313;13/03/2019;;6.2;7.1;;0.2;19.0;52.48;0.10;9.36;1.90;4.49;1.37;1.10;2.01;12.35;0.15;0.10;3.99;11.95;0.01;0.19;0.13;0.03;0.05;0.01;;;;;0.41;;;;;185.50;22.69;208.19;80;46;125.23;47.88;7.60;3.40;5.51;0.40;1.57;0.000;0.02;0.0022;0.0017;0.04;0.0002;0.0002;0.012;0.039;0.001;0.002;0.002;0.003;0.00038;0.00024;0.00001;0.00021;0.21;0.01
Bonfim;Fluvial;BM190413;13/04/2019;;6.0;6.1;;0.3;16.6;44.16;0.10;6.04;2.10;4.84;1.81;3.56;2.88;9.81;0.12;0.11;4.71;7.15;0.01;3.04;0.24;0.03;0.07;0.01;;;;;0.58;;;;;82.86;19.36;102.24;59;23;107.88;42.06;6.56;2.98;5.85;0.36;2.19;0.000;0.02;0.0004;0.0016;0.03;0.0001;0.0002;0.009;0.030;0.001;0.002;0.002;0.003;0.00042;0.00027;0.00003;0.00020;0.22;0.01
Bonfim;Fluvial;BM190518;18/05/2019;;5.6;4.7;;0.6;14.9;41.32;0.10;6.97;2.10;6.90;4.93;1.18;1.64;11.77;0.13;0.18;4.53;2.19;0.01;0.29;0.11;0.03;0.10;;;;;;0.44;;;;;188.17;15.55;203.74;52;;75.85;31.22;7.23;3.36;4.39;0.58;4.63;0.003;0.03;0.0004;0.0021;0.04;0.0001;0.0002;0.009;0.035;0.001;0.002;0.003;0.006;0.00078;0.00048;0.00004;0.00041;0.45;0.09
Bonfim;Fluvial;BM190616;16/06/2019;;6.0;6.4;;0.2;13.1;54.13;0.10;7.44;1.80;3.41;1.74;2.63;4.35;9.10;0.15;0.29;6.04;2.11;0.01;0.03;0.03;;0.06;;;;;;0.66;;;;;62.68;11.00;73.68;86;65;133.25;50.53;8.30;3.79;6.22;0.36;1.32;0.000;0.02;0.0004;0.0018;0.03;0.0001;0.0002;0.012;0.039;0.001;0.002;0.001;0.002;0.00026;0.00017;0.00002;0.00011;0.16;0.01
Bonfim;Fluvial;BM190707;07/07/2019;;6.3;6.6;;0.1;10.0;54.43;0.10;11.48;2.90;6.23;1.56;2.86;11.85;19.02;0.23;0.16;4.79;12.25;0.01;0.48;0.03;;0.05;;;;;;0.73;;;;;111.48;14.74;126.22;;37;126.12;53.70;11.05;5.14;8.26;0.45;1.80;0.000;0.03;0.0004;0.0024;0.03;0.0003;0.0002;0.015;0.050;0.001;0.002;0.002;0.003;0.00045;0.00032;0.00003;0.00022;0.24;0.01
Bonfim;Fluvial;BM190817;17/08/2019;;6.2;7.3;;0.1;10.5;56.59;0.10;11.21;3.50;7.21;1.49;2.75;1.07;20.07;0.18;0.03;5.11;12.37;0.01;0.03;0.03;;0.07;;;;;;0.57;;;;;66.82;30.11;96.91;122;67;128.96;56.25;11.70;5.46;9.32;0.38;1.17;0.002;0.03;0.0004;0.0023;0.03;0.0001;0.0002;0.015;0.056;0.001;0.002;0.003;0.006;0.00063;0.00032;0.00004;0.00030;0.32;0.01
Bonfim;Fluvial;BM190908;08/09/2019;;6.3;7.8;;0.1;14.6;67.62;0.10;15.39;2.80;6.65;1.98;1.15;7.55;16.40;0.15;0.13;2.75;2.81;0.41;0.03;0.03;;;;;;;;;;;;;84.84;11.01;95.91;123;92;;;;;;;;0.006;0.02;0.0004;0.0022;0.03;0.0003;0.0002;0.014;0.044;0.001;0.002;0.002;0.002;0.00030;0.00180;0.00003;0.00011;0.00;0.01
Bonfim;Fluvial;BM191005;05/10/2019;;6.1;17.3;;0.0;15.4;58.81;0.10;15.51;3.10;6.61;2.29;1.82;3.09;21.78;0.16;1.02;6.47;11.98;1.07;0.23;0.42;;;;;;;;;;;;;139.38;13.89;153.28;121;;;;;;;;;0.008;0.02;0.0017;0.0021;0.03;0.0001;0.0002;0.016;0.042;0.001;0.002;0.001;0.002;0.00030;0.00180;0.00002;0.00015;0.00;0.01
Bonfim;Fluvial;BM191109 ;09/11/2019;;6.7;19.6;;0.0;18.8;70.57;0.10;10.55;3.60;6.63;2.07;2.48;1.04;9.79;0.18;0.03;4.26;9.72;0.01;0.40;0.22;;;;;;;;;;;;;93.17;13.90;107.07;127;76;;;;;;;;;;;;;;;;;;;;;;;;;;
Bonfim;Fluvial;BM191215;15/12/2019;;6.1;6.7;;0.3;17.9;4.00;1.90;6.31;2.60;5.69;1.59;3.35;1.03;8.73;0.15;0.03;4.38;1.93;0.01;2.03;0.20;;;;;;;;;;;;;302.73;12.89;315.64;;;;;;;;;;;;;;;;;;;;;;;;;;;;
