data;altitude;campanha;rain;evt_id;evt_sum_rain;evt_avg_rain;evt_max_rain;direcao_graus;velocidade_km/h
01/01/2018 22:00;2391;;0;1;19.8;19.8;19.8;241.7537943;21.9815128
03/01/2018 22:00;2391;;1.3;6;85.8;4.29;24.2;270;21.836
04/01/2018 02:00;2391;;1.3;6;85.8;4.29;24.2;278.810733;20.8459888
04/01/2018 01:00;2391;;1.3;6;85.8;4.29;24.2;282.5876934;21.74056503
04/01/2018 04:00;2391;;0.3;6;85.8;4.29;24.2;269.0709607;19.05750524
04/01/2018 07:00;2391;;1;6;85.8;4.29;24.2;253.2612414;14.30513897
04/01/2018 10:00;2391;;0.3;6;85.8;4.29;24.2;270;8.549
04/01/2018 13:00;2391;;0;6;85.8;4.29;24.2;1.684684318;3.503514378
04/01/2018 19:00;2391;;0;6;85.8;4.29;24.2;322.083286;12.40327009
05/01/2018 19:00;2391;;0.3;12;18.4;1.84;6;322.7266176;29.25272534
05/01/2018 22:00;2391;;0.3;12;18.4;1.84;6;334.4142685;26.95079192
01/08/2018 19:00;2391;PS180901 - PP1;0;225;6.4;1.0667;2.2;285.4992754;25.43912341
01/08/2018 22:00;2391;PS180901 - PP1;0;225;6.4;1.0667;2.2;279.7333824;28.63418525
02/08/2018 02:00;2391;PS180901 - PP1;0;225;6.4;1.0667;2.2;274.304469;28.81828826
02/08/2018 01:00;2391;PS180901 - PP1;0;225;6.4;1.0667;2.2;272.6025622;27.22007641
02/08/2018 04:00;2391;PS180901 - PP1;0.1;226;8;1.3333;4;276.1218854;32.83826739
02/08/2018 07:00;2391;PS180901 - PP1;0;226;8;1.3333;4;270.2960996;39.8615323
03/08/2018 19:00;2391;PS180901 - PP1;0;230;30.8;1.925;6.2;333.2726383;16.26030436
03/08/2018 22:00;2391;PS180901 - PP1;0;230;30.8;1.925;6.2;338.962489;20.0847359
04/08/2018 02:00;2391;PS180901 - PP1;0;230;30.8;1.925;6.2;292.2905825;35.84459195
04/08/2018 01:00;2391;PS180901 - PP1;0;230;30.8;1.925;6.2;304.5483671;30.51304377
04/08/2018 04:00;2391;PS180901 - PP1;0;230;30.8;1.925;6.2;280.3867142;45.1325738
04/08/2018 07:00;2391;PS180901 - PP1;0;230;30.8;1.925;6.2;272.434185;50.92795394
04/08/2018 10:00;2391;PS180901 - PP1;0;230;30.8;1.925;6.2;271.4878675;47.60204924
06/08/2018 22:00;2391;PS180901 - PP1;0.7;234;18.2;2.6;7;302.9659215;38.42576482
07/08/2018 02:00;2391;PS180901 - PP1;0.6;234;18.2;2.6;7;291.3457866;38.48397589
07/08/2018 01:00;2391;PS180901 - PP1;0.6;234;18.2;2.6;7;291.4477363;37.18285734
07/08/2018 04:00;2391;PS180901 - PP1;0.6;234;18.2;2.6;7;291.1485688;41.9665281
17/08/2018 19:00;2391;PS180901 - PP1;0;242;27.8;3.9714;7.8;230.8394923;12.88529588
17/08/2018 22:00;2391;PS180901 - PP1;0;242;27.8;3.9714;7.8;204.9439053;9.769266298
18/08/2018 02:00;2391;PS180901 - PP1;0;242;27.8;3.9714;7.8;164.3204759;6.097913168
18/08/2018 01:00;2391;PS180901 - PP1;0;242;27.8;3.9714;7.8;181.762391;6.698168481
26/08/2018 13:00;2391;PS180901 - PP1;0;245;17.2;1.4333;2.8;295.3993096;15.84895243
26/08/2018 19:00;2391;PS180901 - PP1;0;245;17.2;1.4333;2.8;300.9637565;24.62410985
26/08/2018 22:00;2391;PS180901 - PP1;0;245;17.2;1.4333;2.8;293.9868702;24.57645615
27/08/2018 02:00;2391;PS180901 - PP1;0;245;17.2;1.4333;2.8;289.4255552;22.60797209
27/08/2018 01:00;2391;PS180901 - PP1;0;245;17.2;1.4333;2.8;288.9850972;23.74568889
04/09/2018 02:00;2391;PS181001 - PP1;0;250;5;2.5;2.8;322.1934701;45.36726172
04/09/2018 04:00;2391;PS181001 - PP1;0.1;250;5;2.5;2.8;316.8933858;52.90491503
14/09/2018 22:00;2391;PS181001 - PP1;0.2;261;32.6;2.7167;8.6;323.1301024;42.745
15/09/2018 02:00;2391;PS181001 - PP1;0;261;32.6;2.7167;8.6;318.9206825;46.86782958
15/09/2018 01:00;2391;PS181001 - PP1;0;261;32.6;2.7167;8.6;327.1071;47.22592121
15/09/2018 04:00;2391;PS181001 - PP1;3.9;261;32.6;2.7167;8.6;300.1116867;49.88965314
15/09/2018 07:00;2391;PS181001 - PP1;2.8;261;32.6;2.7167;8.6;278.2448659;58.17831708
15/09/2018 10:00;2391;PS181001 - PP1;0;261;32.6;2.7167;8.6;274.2442258;55.66966579
16/09/2018 02:00;2391;PS181001 - PP1;0;263;8.2;1.3667;4.6;272.0154421;35.14474107
16/09/2018 01:00;2391;PS181001 - PP1;0;263;8.2;1.3667;4.6;270.6800367;34.71344502
16/09/2018 04:00;2391;PS181001 - PP1;0;263;8.2;1.3667;4.6;272.74938;36.50401957
17/09/2018 19:00;2391;PS181001 - PP1;0;266;15.4;1.925;8.2;294.0713334;55.05135613
17/09/2018 22:00;2391;PS181001 - PP1;0.5;266;15.4;1.925;8.2;288.230078;54.65525911
21/09/2018 22:00;2391;PS181001 - PP1;0;276;9.6;2.4;4.6;261.2813507;32.61588964
22/09/2018 01:00;2391;PS181001 - PP1;0;276;9.6;2.4;4.6;251.035775;28.20808781
27/09/2018 22:00;2391;PS181001 - PP1;0;278;17;2.8333;4.6;284.5001668;18.51165333
28/09/2018 02:00;2391;PS181001 - PP1;0.2;278;17;2.8333;4.6;300.0685828;15.82919335
